"ID","Name","Melee Attack Bonus","Melee Defense Bonus","Range Defense Bonus","Speed Bonus","Accuracy Bonus","Range Bonus","Reload Bonus","Charge Bonus","Charge Defense Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hide Bonus","Temperature","Elemental","Status","matterspawn","travelangle","travelspeed","special_effect","Description"
0,"Random",,,,,,,,,,,,,,,,,,,,,,,
1,"Rain",0,0,0,0,0,-10,0,-5,0,0,0,-10,0,,,-15,1,,10,225,500,0,
2,"Snow",0,0,0,0,0,0,0,0,0,0,0,-5,0,,,-30,0,,2,180,50,0,
3,"Foggy",-10,-10,-15,0,0,-30,0,-10,0,0,0,0,-10,,,0,0,,0,270,100,1,
4,"Sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,,0,0,0,0,
5,"Cloudy",0,0,0,0,0,0,0,0,0,0,0,0,0,,,-5,0,,0,,,0,
6,"Thunder Storm",-10,-10,-10,0,-20,-40,2,-20,-10,0,0,-30,-10,,,-20,1,,20,,,0,
7,"Hail",-15,-15,-15,0,-10,-50,3,-15,-15,-10,0,-20,-20,,,-10,1,,5,225,,0,
8,"Windy",-10,-5,0,0,-5,-40,2,-5,-5,0,0,-5,-5,,,-10,0,,1,270,,0,
9,"Bread Dust",,,,,,-15,,,,,,,,,,0,0,,1,270,,0,
10,"Void",,,,,,,,,,,,,,,,0,0,,0,,,0,
11,"Mana Mist",,,,,,-20,,,,,,,,,,0,0,,0,,,0,
