"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Description"
100000,"Knight",,,,,,,,
100001,"Warlord",,,,,,,,
100002,"Count",,,,,,,,
100003,"Duke",,,,,,,,
100004,"Baron",,,,,,,,
100005,"Bishop",,,,,,,,
100006,"Priest",,,,,,,,
100007,"Merchant",,,,,,,,
100008,"Slave",,,,,,,,
100009,"Warrior",,,,,,,,
100010,"Citizen",,,,,,,,
100011,"Mercenary",,,,,,,,
100012,"Guard",,,,,,,,
100013,"Mayor",,,,,,,,
100014,"Slave Master",,,,,,,,
100015,"Logistic Expert",,,,,,,,
100016,"Combat Expert",,,,,,,,
100017,"Ranger",,,,,,,,
100018,"Champion",,,,,,,,
100019,"Hero",,,,,,,,
100020,"Shaman",,,,,,,,
100021,"Paladin",,,,,,,,
100022,"Inquisitor",,,,,,,,
100023,"Royalty",,,,,,,,
100024,"Bandit",,,,,,,,
100025,"Chieftain",,,,,,,,
100026,"Captain",,,,,,,,
100027,"Admiral",,,,,,,,
100028,"Royal Guard",,,,,,,,
100029,"General",,,,,,,,
100030,"Jester",,,,,,,,
100031,"Musician",,,,,,,,
100032,"Bard",,,,,,,,
100033,"Steward",,,,,,,,
100034,"Spy",,,,,,,,
100035,"Assassin",,,,,,,,
100036,"Blacksmith",,,,,,,,
100037,"Patrician",,,,,,,,
100038,"Hunter",,,,,,,,
100039,"Sniper",,,,,,,,
100040,"Messenger",,,,,,,,
100041,"Dancer",,,,,,,,
100042,"Scout",,,,,,,,
100043,"Military Engineer",,,,,,,,
100044,"Medic",,,,,,,,
100045,"Animal Handler",,,,,,,,
100046,"Monk",,,,,,,,
100047,"Squire",,,,,,,,
100048,"Artist",,,,,,,,
100049,"Historian",,,,,,,,
100050,"Diviner",,,,,,,,
100051,"Cartographer",,,,,,,,
100052,"Builder",,,,,,,,
100053,"Chef",,,,,,,,
100054,"Procurer",,,,,,,,
100055,"Strategist",,,,,,,,
100056,"Lord",,,,,,,,
100057,"Inventor",,,,,,,,
100058,"Explorer",,,,,,,,
100059,"Herald",,,,,,,,
100060,"Mentor",,,,,,,,
100061,"Forger",,,,,,,,
100062,"Mercenary Captain",,,,,,,,
100063,"Commander",,,,,,,,
100064,"Veteran",,,,,,,,
100065,"Navigator",,,,,,,,
100066,"Berserker",,,,,,,,
100067,"Pirate",,,,,,,,
100068,"Fisherman",,,,,,,,
100069,"Barbarian",,,,,,,,
100070,"Beastmaster",,,,,,,,
100071,"Trickster",,,,,,,,
100072,"Farmer",,,,,,,,
100073,"Fletcher",,,,,,,,
100074,"Zealot",,,,,,,,
100075,"Scholar",,,,,,,,
100076,"Adventurer",,,,,,,,
100077,"Raider",,,,,,,,
100078,"Duelist",,,,,,,,
100079,"Saboteur",,,,,,,,
100080,"Thief",,,,,,,,
100081,"Woodcutter",,,,,,,,
100082,"Judge",,,,,,,,
100083,"Executioner",,,,,,,,
100084,"Standard-bearer",,,,,,,,
100085,"Jailor",,,,,,,,
100086,,,,,,,,,
