"ID","Name","Special Effect","Status Conflict","Duration","Melee Attack Effect","Melee Defense Effect","Range Defense Effect","Armour Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defense Bonus","HP Regeneration buff","Stamina Regeneration Buff","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Ruleset","description"
1,"Fearless",,0,10,,,,,,,,,0,0,0,200,0,0,,0,"Being fearless is a beneficial trait in a place of life and dead in battle. Although fear allows person to survive longer to fight another day, so being fearless is more of a double-edge sword."
2,"Fear",,"1,3",10,,,,,,,,,0,0,0,-30,0,0,,0,"There should be no fear in the machine of war. Fear makes even the obedient soldier refuse to follow the command after all."
3,"Hope",,2,10,,,,,,,,,0,0,0,30,0,0,,0,"Optimism to survive and see the better days is good. Soldier always fight harder when there is hope."
4,"Stampede",,,10,,85,85,,,,,,0,0,0,0,0,0,,0,
5,"Disrupt",,,10,90,90,90,,90,90,90,90,-20,0,0,-20,10,0,,0,
6,"Hidden",,,30,,,,,,,,,0,0,0,0,0,,,0,"Unseen by enemy, ambush them at the right time and you may win this battle effortlessly."
7,"Blind",,,60,50,50,30,,60,10,30,,-70,0,0,0,0,-500,,2,"Blindness is pretty much an equivalent of certain death in battle. Unable to both attack and defend, such disability must be treated as soon as possible."
8,"Silence",6,,60,,,,,,,,,-10,0,0,0,0,,,2,"Unable to speak, unable to cast spell. Looking at the bright side, this is the time to replenish mana."
9,"Fight To The Death","0,2",,5,,,,,,,,,30,0,0,0,0,,,0,"This unit is already broken but cannot flee from battle. It will fight to the last man."
10,"Sleep",0,,60,0,0,-50,,0,0,0,0,-100,0.5,1,0,0,,,0,"While sleeping is good for the body, sleeping at the wrong time and place is not a wise thing to do."
11,"Panic",0,50,30,10,10,10,,10,10,10,10,-90,0,0,-50,-50,,,0,"""Forward!, I said forward you fool! Listen to my command!"""
12,"Berserk",0,25,120,170,10,0,,150,0,0,150,-50,0,0,50,-70,,,0,"Desolation, destruction, elimination and eradication! Stop at nothing until your enemy is no more."
13,"Orc Berserk",0,,120,250,0,0,,150,0,0,200,-50,0,0,100,-100,,,2,"Even more devastating and violence than normal berserk, orc berserk make this unit an ultimate killing machine!"
14,"Confuse","0,1",50,30,30,50,50,,20,10,10,20,-30,0,0,0,-100,,,0,"""Where is the enemy? What is going on? Why is everyone around me doing nothing?"""
15,"Run Amok","0,1",50,60,130,0,0,,130,,,130,-20,0,0,-30,-200,,,0,"Cavalry unit has one downside is that their mounts can run amok from anything that spook them, Be it fire or very loud noise or even stress. This make their mount uncontrollable and will attack anyone in their path."
16,"Unconscious","0,1",,30,0,0,0,,0,0,0,0,-100,0,0,0,0,,,0,"Being unconscious in battle is often a death sentence, especially in melee combat."
17,"Oil",,,60,80,,,,80,80,80,80,-10,0,0,0,0,,,0,"Oiled up and ready to be cooked. This unit will catch fire much faster."
18,"Blessed",,19,60,120,120,120,,120,120,120,120,20,0,0,50,10,,,2,"Blessed be the believer. Your god grant you the purpose to fulfill your destiny."
19,"Cursed",,18,60,80,80,80,,80,80,80,80,-20,0,0,-50,-10,,,2,"The damned will walk the earth until no sun longer shines."
20,"Plague",,49,300,60,80,80,,50,60,50,50,0,-5,-5,-20,-10,,,0,"Anyone with a plague is dangerous to everyone around him especially when so many people are staying so close in tight formation."
21,"Blight",,49,300,70,70,90,,70,70,70,50,0,-2,-5,-40,-20,,,2,
22,"Strong Will",7,,120,,,,,,,,,0,0,0,100,0,,,2,"Strength in the mind is the foundation of a true strength."
23,"Stun",,,5,50,50,50,,50,50,50,50,50,0,0,0,-30,,,0,"Vision blur, hearing deafen, regain oneself or be perished."
24,"Entangle",,,10,80,90,,,30,,20,0,-25,0,0,0,0,,,2,"Entangle to the ground, unable to move. They time to run may yet come so shake off the obstacle as soon as possible."
25,"Focus",,12,10,130,130,130,,80,150,70,,15,0,0,0,20,10,,2,"Focus to accomplish what is necessary. This unit will fight to the fullest without distraction. "
26,"Poison",,49,60,,,,,,,,,0,-30,-2,-10,0,,,0,
27,"Deadly Poison",,,60,80,,,,,,,70,0,-50,-4,-20,-10,,,0,"Deadly poison that cannot be cured, very few can survive this painful experience and even fewer can live long life after."
28,"Burn",,"29,93,101,102,104",10,,,,,,,,,0,-50,0,-10,0,0,0,0,"Dead by burning is not a good way to go. Try to drench yourselves as soon as possible."
29,"Freeze",0,"28,92",30,40,60,60,,30,40,40,20,-30,-10,-10,-20,-20,,,0,"Frozen in place and time. Nothing to be done but wait."
30,"Shock",,,30,50,50,50,,30,,50,20,-35,0,0,0,0,,,0,
31,"Wet",,,30,,,,,80,,,80,0,0,0,0,0,,,0,"Being wet can either be good or bad. Fire and burning become much less effective but air and water damage and effect become a dangerous threat."
32,"Whistle Arrow",,50,30,80,80,80,,,80,80,,-15,0,0,-15,-15,,,0,
