skillid,name,authority_bonus,health_bonus,health_regen,atk_bonus,def_melee_bonus,def_range_bonus,speed_bonus,accuracy_bonus,reload_bonus,charge_bonus,charge_def_bonus,health_bonus,stamina_bonus,morale_bonus,discipline_bonus,critical_bonus,grade_focus,unit_unlock,description
1,Pride Of Malabel,,,,,,,,,,,,,,,,,,,
2,For The Family,,,,,,,,,,,,,,,,,,,
3,No Truth Is Stronger Than Lie,,,,,,,,,,,,,,,,,,,
4,Unbound To Godhood,100,,,,,,,,,,,,,,,,,,
5,I Am Never Alone,,,,,,,,,,,,,,,,,,,
6,Epitome Of True Warrior,,,,,,,,,,,,,,,,,,,
7,Elemental Majesty,,,,,,,,,,,,,,,,,,,
8,Purpose Of Wealth,,,,,,,,,,,,,,,,,,,
9,Shaharans' Companion,,,,,,,,,,,,,,,,,,,
10,Glory For The Glorious,,,,,,,,,,,,,,,,,,,
11,New Man From The East,,,,,,,,,,,,,,,,,,,
12,Relieving The Old Dream,,,,,,,,,,,,,,,,,,,
13,Mastery Of The Finest,,,,,,,,,,,,,,,,,,,
14,To See The World Through My Eyes,,,,,,,,,,,,,,,,,,,
15,Unmatched In Battlefield,,,,,,,,,,,,,,,,,,,
16,A Simple Life For A Simple Man,,,,,,,,,,,,,,,,,,,
17,Vast World On A Narrow Mind,,,,,,,,,,,,,,,,,,,
18,Progress Of War,,,,,,,,,,,,,,,,,,,
19,The King's Struggle ,,,,,,,,,,,,,,,,,,,
20,Sky Dance Of Joy,,,,,,,,,,,,,,,,,,,
21,Opportunity Always Awaits,,,,,,,,,,,,,,,,,,,
22,Peace And War,,,,,,,,,,,,,,,,,,,
23,Only Forward To Victory,,,,,,,,,,,,,,,,,,,
24,Against All Odds,,,,,,,,,,,,,,,,,,,
25,Eastern Moon Of Medulna,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,Continuity Through Force,,,,,,,,,,,,,,,,,,,
29,Breaking Chain Of Fate,,,,,,,,,,,,,,,,,,,
30,Unwavering Persuit,,,,,,,,,,,,,,,,,,,
31,Uncatchable Shadow,,,,,,,,,,,,,,,,,,,
32,Kindred Of The Flame,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,Knightess's Resolution,,,,,,,,,,,,,,,,,,,
35,Crescent Of Blood Moon,,,,,,,,,,,,,,,,,,,
36,Crescent Of Blue Moon,,,,,,,,,,,,,,,,,,,
37,Lagitus Arginaly,,,,,,,,,,,,,,,,,,,
38,Music Of Peace And War,,,,,,,,,,,,,,,,,,,
39,Western Sun Of Kasondai,,,,,,,,,,,,,,,,,,,
40,Innocence Of The Savior,,,,,,,,,,,,,,,,,,,
41,Barlagard Domination,,,,,,,,,,,,,,,,,,,
42,Empress Of The Chaotic Order,,,,,,,,,,,,,,,,,,,
43,Coward's Conviction,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,Death Whistling,,,,,,,,,,,,,,,,,,,
46,Sinful Purity,,,,,,,,,,,,,,,,,,,
47,Magicelai,,,,,,,,,,,,,,,,,,,
48,The Charismatic And Weird,,,,,,,,,,,,,,,,,,,
