"ID","Name","Leader ID","Troop","Faction"
"NOR=1","William’s Conrois","NOR-1","NOR+6:10/100",1
"NOR=2","Raoul’s Conrois","NOR-11","NOR+6:5/50",1
"NOR=3","Turstin’s Conrois","NOR-16","NOR+6:5/50",1
"NOR=4","Eustace II’s Conrois","NOR-4","NOR+6:5/50",1
"NOR=5","Hugh G’s Norman Conrois","NOR-13","NOR+6:5/50",1
"NOR=6","Odo’s Norman Conrois","NOR-15","NOR+6:6/80",1
"NOR=7","Robert M.’s Norman Conrois","NOR-18","NOR+6:6/80",1
"NOR=8","Hugh M’s Norman Infantries","NOR-10","NOR+1:2/20,NOR+3:5/50",1
"NOR=9","William d’E.’s Norman Infantries","NOR-5","NOR+1:2/20,NOR+2:5/50",1
"NOR=10","Engenulf’s Norman Infantries","NOR-23","NOR+1:2/20,NOR+3:5/50",1
"NOR=11","Richard’s Norman Infantries","NOR-24","NOR+1:2/20,NOR+2:5/50",1
"NOR=12","Wadard’s Norman Axemen","NOR-19","NOR+2:5/100",1
"NOR=13","Vital’s Norman Spearmen","NOR-20","NOR+3:5/100",1
"NOR=14","Robert B.’s Norman Archers","NOR-6","NOR+5:5/50,NOR+4:5/50",1
"NOR=15","Walter’s Norman Archers","NOR-9","NOR+5:5/50,NOR+4:5/50",1
"NOR=16","Gilbert’s Frankish Cavalries","NOR-21","NOR+1NOR+2:5/50",1
"NOR=17","William M.’s Frankish Infantries","NOR-14","NOR+7:2/50,NOR+1NOR+1:5/100",1
"NOR=18","Geoffrey II’s Frankish Infantries","NOR-7","NOR+7:2/50,NOR+10:5/100",1
"NOR=19","Geoffrey’s Frankish Infantries","NOR-17","NOR+1NOR+2:2/10,NOR+9:5/50,NOR+8:5/50",1
"NOR=20","Hugh’s Frankish Infantries","NOR-10","NOR+1NOR+2:2/10,NOR+9:5/50,NOR+8:5/50",1
"NOR=21","William F.’s Frankish Infantries","NOR-3","NOR+1NOR+2:2/10,NOR+9:5/50,NOR+8:5/50",1
