"Name","Leader ID","Troop"
"William’s Conrois","NOR-1","6:10/100"
"Raoul’s Conrois","NOR-11","6:5/50"
"Turstin’s Conrois","NOR-16","6:5/50"
"Eustace II’s Conrois","NOR-4","6:5/50"
"Hugh G’s Norman Conrois","NOR-13","6:5/50"
"Odo’s Norman Conrois","NOR-15","6:6/80"
"Robert M.’s Norman Conrois","NOR-18","6:6/80"
"Hugh M’s Norman Infantries","NOR-10","1:2/20,3:5/50"
"William d’E.’s Norman Infantries","NOR-5","1:2/20,2:5/50"
"Engenulf’s Norman Infantries","NOR-23","1:2/20,3:5/50"
"Richard’s Norman Infantries","NOR-24","1:2/20,2:5/50"
"Wadard’s Norman Axemen","NOR-19","2:5/100"
"Vital’s Norman Spearmen","NOR-20","3:5/100"
"Robert B.’s Norman Archers","NOR-6","5:5/50,4:5/50"
"Walter’s Norman Archers","NOR-9","5:5/50,4:5/50"
"Gilbert’s Frankish Cavalries","NOR-21","12:5/50"
"William M.’s Frankish Infantries","NOR-14","7:2/50,11:5/100"
"Geoffrey II’s Frankish Infantries","NOR-7","7:2/50,10:5/100"
"Geoffrey’s Frankish Infantries","NOR-17","12:2/10,9:5/50,8:5/50"
"Hugh’s Frankish Infantries","NOR-10","12:2/10,9:5/50,8:5/50"
"William F.’s Frankish Infantries","NOR-3","12:2/10,9:5/50,8:5/50"
"Alan’s Breton Cavalries","NOR-2","6:2/20, 18:3/30"
"Aimery IV’s Breton Infantries","NOR-8","1:5/50,14:5/100"
"William W.’s Breton Archers","NOR-13","13:5/50,16:5/100"
"Humphrey I’s Breton Archers","NOR-22","13:5/50,17:5/100"
"Taillefer’s Band","NOR-25","3:5/20"
"Norman Noble’s Spearmen","CNOR-1","3:10/50"
"Breton Noble’s Spearmen","CNOR-2","15:10/50"
"Frankish Noble’s Spearmen","CNOR-3","9:10/50"
"Norman Noble’s Swordsmen","CNOR-1","1:10/50"
"Breton Noble’s Swordsmen","CNOR-2","13:10/50"
"Frankish Noble’s Swordsmen","CNOR-3","7:10/50"
"Norman Noble’s Archers","CNOR-1","4:10/50"
"Breton Noble’s Archers","CNOR-2","10:10/50"
"Frankish Noble’s Archers","CNOR-3","16:10/50"
"Norman Noble’s Crossbowmen","CNOR-1","5:10/50"
"Breton Noble’s Crossbowmen","CNOR-2","17:10/50"
"Frankish Noble’s Crossbowmen","CNOR-3","11:10/50"
