"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15"
"CSAX-1","Huscarl Captain","A captain of the fame Saxon Huscarl warriors who are one of the fiercest infantries in Europe. Undeniably loyal to the king he swears an oath to, this Huscarl captain will fight to the death along with his troop.",,,,,,,,,,,,,,,
"CSAX-2","Thane","Saxon thane (or thegn) is the landowner, which is considered to be a minor noble title in Saxon England. Thanes are responsible for governing their local land and raising the militia (fyrd) to respond to the call of war by their king. After the Norman invasion, William the Conqueror replace Saxon political structure with Norman's one and integrate the thane class to Norman knight class.",,,,,,,,,,,,,,,
"CNOR-1","High Medieval Norman Noble",,,,,,,,,,,,,,,,
"CBRT-1","High Medieval Breton Noble",,,,,,,,,,,,,,,,
"CFR-1","High Medieval Frankish Noble",,,,,,,,,,,,,,,,
"CNK-1","Imy-rA mSa","Imy-rA mSa is a title for the overseer of the army in Ancient Egypt's military structure. They were noble who was given authority by the Pharoah to command a portion of the army. They also served as generals and military advisors to the Pharoah in military campaigns.",,,,,,,,,,,,,,,
"CNK-2","Ur","Ur is one of the word that refer to a person of status in the Ancient Egypt language. Nobles in the Ancient Egypt society are only below the Pharoah himself and usually serve as a high ranking leader of the military.",,,,,,,,,,,,,,,
"CCNA-1","Muru-u","Muru-u is a field commander in Canaan city state's military structure who command a contingent of infantries and chariots. Their exact role in the army is unknown since most of the records of Canaanite history are long lost.",,,,,,,,,,,,,,,
"CCNA-2","Akil Narkabti ","Akil Narkabti means Chief of Chariotry, who commands a portion of Maryannu chariot warriors in the Canaanite military. Similar to other bronze-age civilisations, their army makeup of chariots that serve multiple roles, from skirmishing, charging, and pursuing retreating enemies. Since these chariot warriors typically also were nobles, Akil Narkabti was a title for high-ranking nobles who likely to excelled in chariotry or had the most influence in the court of politics. ",,,,,,,,,,,,,,,
"CCNA-3","Canaanite Noble",,,,,,,,,,,,,,,,
"CPOL-1","Renaissance Polish Noble","In the time of inefficient record, it is impossible to keep track the name of every person who was the leader of the army units let alone participated in the battle. History oftentimes remembers only the major nobles who were the top in the chain of command, but it is important to know that no army can be led by such a few individuals even for an organised mass. These minor nobles were one of such people that often joined their lord army as a minor leader or warrior.",,,,,,,,,,,,,,,
"CHUN-1","Renaissance Hungarian Noble","Not even an important noble would be assuredly recorded in the chronicle of a battle in the time of pre-industrialisation period. The majority of battles in world history did not have historians to record the event or its existence as the well-known battles we know today, some may even be lost to the flow time, accident or intentional erasing. These unnamed nobles still without a doubt aided their sovereign as commanders of the contingent in the battle.",,,,,,,,,,,,,,,
"CCRT-1","Renaissance Croatian Noble",,,,,,,,,,,,,,,,
"CMC-1","Renaissance Mercenary Captain",,,,,,,,,,,,,,,,
"COTTO-1","Ottoman Bey",,,,,,,,,,,,,,,,
"COTTO-2","Ottaman Pasha",,,,,,,,,,,,,,,,
"COTTO-3","Silahdar Agha",,,,,,,,,,,,,,,,
"COTTO-4","Janissary Agha",,,,,,,,,,,,,,,,
