"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"NK-1","570,885",,3,"34:15/2000,37:15/1000",0,100,100,1
2,"CNK-1","550,905","1",3,"39:15/500,40:15/1000",0,100,100,1
3,"CNK-1","590,905","1",3,"40:10/1000,32:15/5000",0,100,100,1
4,"CNK-1","330,905",,3,"34:25/1000",0,100,100,1
5,"CNK-1","250,905",,3,"34:25/1000",0,100,100,1
6,"CNK-2","570,930","2",3,"35:15/5000,33:15/5000",0,100,100,1
7,"CNK-2","530,930","2",3,"38:15/1000,33:15/5000",0,100,100,1
8,"CNK-2","620,930","3",3,"36:15/2000",0,100,100,1
9,"CNK-2","550,950","3",3,"32:15/5000,33:15/5000",0,100,100,1
10,"CNK-2","300,935","4",3,"31:15/5000,30:15/5000",0,100,100,1
11,"CNK-2","330,935","4",3,"35:15/5000,32:15/5000",0,100,100,1
12,"CNK-2","360,935","4",3,"32:15/5000,33:15/5000",0,100,100,1
13,"CNK-2","300,905","5",3,"31:15/5000,30:15/5000",0,100,100,1
14,"CNK-2","300,905","5",3,"32:15/5000,33:15/5000",0,100,100,1
15,"CNA-1","600,200",,4,"47:5/1000,48:10/500,49:2/100",180,100,100,2
16,"CNA-2","300,200",,4,"47:10/1000,48:7/500,49:2/100",180,100,100,2
17,"CCNA-2","400,150","15",,"47:10/500,48:10/500",180,100,100,2
18,"CCNA-1","500,150","15",4,"45:15/1000",180,100,100,2
19,"CCNA-1","450,150","15",4,"45:15/1000",180,100,100,2
20,"CCNA-3","600,150","15",4,"43:15/5000,44:15/5000",180,100,100,2
21,"CCNA-3","550,150","15",4,"43:15/5000,44:15/5000",180,100,100,2
22,"CCNA-3","650,150","15",4,"46:20/5500",180,100,100,2
23,"CCNA-3","600,100","15",4,"46:20/5500",180,100,100,2
24,"CCNA-3","450,100","15",4,"41:15/7500",180,100,100,2
25,"CCNA-3","650,100","15",4,"42:15/7500",180,100,100,2
26,"CCNA-3","350,200","16",4,"45:15/1000",180,100,100,2
27,"CCNA-3","250,200","16",4,"45:15/1000",180,100,100,2
28,"CCNA-3","200,200","16",4,"43:15/5000,44:15/5000",180,100,100,2
29,"CCNA-3","400,200","16",4,"43:15/5000,44:15/5000",180,100,100,2
30,"CCNA-3","200,150","16",4,"46:20/5500",180,100,100,2
31,"CCNA-3","400,150","16",4,"46:20/5500",180,100,100,2
32,"CCNA-3","150,150","16",4,"41:15/7500",180,100,100,2
33,"CCNA-3","300,150","16",4,"42:15/7500",180,100,100,2
