"Name","Height Type","Area Of Effect","Duration","Status Conflict","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Melee Attack Modifier","Melee Defence Modifier","Ranged Defence Modifier","Speed Modifier","Accuracy Modifier","Melee Speed Modifier","Reload Modifier","Charge Modifier","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Status","Special Effect","Upgrade","Flammable Level","Wind Dispersion","Damage Sprite","Damage Sprite Effect","After Reach Effect","End Effect","Sound Effect","Sound Distance","Properties"
"Explosion Small",0,10,0,,20,10,0,500,20,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Smoke Minor",,70,
"Explosion Medium",0,30,0,,40,20,0,1000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Smoke Moderate",,120,
"Explosion Large",0,60,0,,100,40,0,2000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Smoke Thick",,200,
"Explosion Huge",0,120,0,,150,60,0,10000,250,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Smoke Dense",,400,
"Fire Minor",0,,10,,0,10,0,250,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire Moderate","0","TRUE",,,,"Smoke Minor",,20,
"Fire Moderate",0,,30,,0,30,0,500,10,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire Major","0","TRUE",,,,"Smoke Moderate",,30,
"Fire Major",0,,100,,0,60,0,1000,20,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire Catastrophic","0","TRUE",,,,"Smoke Thick",,45,
"Fire Catastrophic",0,,300,,0,100,0,2000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","TRUE",,,,"Smoke Dense",,70,
"Tar",0,,1000,,0,0,0,0,0,,,0,-0.6,0,0,0,-0.6,,,,,-20,,,,,-50,,,,,,,,,100,"FALSE",,,,,,0,
"Smoke Minor",1,,40,,0,0,0,10000,0,,,0.1,-0.1,-0.1,0,0,0,,,,,,-20,10,,,,,,,,,,,"Smoke Moderate","0","TRUE",,,,,,,
"Smoke Moderate",1,,80,,0,0,0,10000,0,,,0.3,-0.2,-0.2,0,-0.05,-0.1,,,,,-2,-50,40,,,,,,,,,,,"Smoke Thick","0","TRUE",,,,,,,
"Smoke Thick",1,,200,,0,0,0,10000,0,,,0.5,-0.3,-0.35,0,-0.1,-0.2,,,,,-6,-80,70,,,,,,,,,,,"Smoke Dense","0","TRUE",,,,,,,
"Smoke Dense",1,,600,,0,0,1,10000,0,,,1,-0.4,-0.6,0,-0.1,-0.35,,,,,-10,-150,100,,,,,,,,,,,,"0","TRUE",,,,,,,
"Poison Smoke Minor",1,,10,,0,0,2,10000,0,,,0.1,-0.1,-0.1,0,0,0,,,,-5,-5,-20,10,,,,,,,,,,,"Poison Smoke Moderate","0","TRUE",,,,,,,
"Poison Smoke Moderate",1,,30,,0,0,2,10000,0,,,0.3,-0.2,-0.2,0,-0.05,-0.1,,,,-10,-15,-50,40,,,,,,,,,,,"Poison Smoke Thick","0","TRUE",,,,,,,
"Poison Smoke Thick",1,,100,,0,0,3,10000,0,,,0.5,-0.3,-0.35,0,-0.1,-0.2,,,,-20,-25,-80,70,,,,,,,,,,,"Poison Smoke Dense","0","TRUE",,,,,,,
"Poison Smoke Dense",1,,300,,0,0,4,10000,0,,,1,-0.4,-0.6,0,-0.1,-0.35,,,,-35,-30,-150,100,,,,,,,,,,,,"0","TRUE",,,,,,,
"Sleeping Smoke Minor",1,,10,,0,0,0,10000,0,,,0.1,-0.1,-0.1,0,0,0,,,,,-20,-20,10,,,,,,,,,10,,"Sleeping Smoke Moderate","0","TRUE",,,,,,,
"Sleeping Smoke Moderate",1,,30,,0,0,0,10000,0,,,0.3,-0.2,-0.2,0,-0.05,-0.1,,,,,-30,-50,40,,,,,,,,,10,,"Sleeping Smoke Thick","0","TRUE",,,,,,,
"Sleeping Smoke Thick",1,,100,,0,0,0,10000,0,,,0.5,-0.3,-0.35,0,-0.1,-0.2,,,,,-40,-80,70,,,,,,,,,10,,"Sleeping Smoke Dense","0","TRUE",,,,,,,
"Sleeping Smoke Dense",1,,300,,0,0,0,10000,0,,,1,-0.4,-0.6,0,-0.1,-0.35,,,,,-60,-150,100,,,,,,,,,10,,,"0","TRUE",,,,,,,
"Dust Cloud",1,,100,,0,0,0,0,0,,,0.3,-0.1,-0.3,0,-0.1,-0.1,,,,,-2,-50,50,,,,,,,,,,,,"0","TRUE",,,,,,,
"Gun Smoke Small",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Minor",,,
"Gun Smoke Medium",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Moderate",,,
"Gun Smoke Large",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Thick",,,
"Gun Smoke Huge",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Dense",,,
"Hamster",1,0,0,,10,0,0,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"FALSE",,,,"Explosion Large",,20,
