"ID","Name","Strength Bonus Scale","Dexterity Bonus Scale","Damage Balance","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Defence","Charge","Weight","Skill","Trait","Cooldown","Ammunition","Magazine","Shot Number","Range","Travel Speed","Cost","Hand","Damage Stat Scaling","Damage Sprite","Damage Sprite Effect","After Reach Effect","After Attack Effect","Sound Effect","Sound Distance","Bullet Sound Distance","Common","Attack","Properties","Type"
"M1","Ballista",1,9,60,300,0,0,500,60,0,0,15,,"9,53",30,75,1,1,350,200,,1,"FALSE","Bolt Big",,,,,9,40,"ballista","Shoot","hold","Artillery"
"M2","Trebuchet (stone)",1,9,40,500,0,0,2000,100,0,0,30,,"9,53",60,50,1,1,400,160,,1,"FALSE","Stone Big",,,,,15,60,"trebuchet","Shoot","hold","Artillery"
"M3","Trebuchet (fire)",1,9,30,200,150,0,1000,100,0,0,25,,"9,53",67,30,1,1,375,150,,1,"FALSE","Fire Ball Big",,,,,15,80,"trebuchet","FireStone","hold","Artillery"
"M4","Trebuchet (carcass)",1,9,20,100,0,100,200,100,0,0,20,,"9,53",60,20,1,1,400,140,,1,"FALSE",,,,,,15,50,"trebuchet","Shoot","hold","Artillery"
"M5","Trebuchet (cluster)",1,9,20,400,0,0,500,70,0,0,20,,"9,53",67,40,1,10,350,160,,1,"FALSE","Stone Small",,,,,15,40,"trebuchet","Shoot","hold","Artillery"
"M6","Catapult (stone)",1,9,40,300,0,0,1000,70,0,0,25,,"9,53",45,60,1,1,250,160,,1,"FALSE","Stone Big",,,,,10,50,"catapult","Shoot","hold","Artillery"
"M7","Catapult (fire)",1,9,30,100,100,0,800,70,0,0,23,,"9,53",52,40,1,1,225,150,,1,"FALSE","Fire Ball Big",,,,,10,70,"catapult","Shoot","hold","Artillery"
"M8","Catapult (cluster)",1,9,20,400,0,0,400,50,0,0,20,,"9,53",52,40,1,8,200,150,,1,"FALSE","Stone Small",,,,,10,30,"catapult","Shoot","hold","Artillery"
"M9","Catapult (scorpion)",1,9,20,50,0,200,100,40,0,0,15,,"9,53",37,25,1,1,225,150,,1,"FALSE","Pot",,,,,10,30,"catapult","Shoot","hold","Artillery"
"M10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M11","Scorpion",1,9,70,175,0,0,400,50,0,0,10,,53,22,90,1,1,200,200,,1,"FALSE","Bolt Big",,,,,8,30,"scorpion","Shoot","hold","Artillery"
"M12","Hwacha",1,9,30,100,0,0,90,35,0,0,,,"9,53",90,45,20,1,280,190,,1,"FALSE","Rocket Small",,,,,20,24,"hwacha","Shoot",,"Artillery"
"M13","Mounted Crossbow",1,9,70,160,0,0,90,40,0,0,,,53,19,100,1,1,180,180,,1,"FALSE","Bolt Big",,,,,7,20,"mounted crossbow","Shoot","hold","Artillery"
"M14","Light Cannon (round)",1,9,50,400,0,0,2000,100,0,0,25,,"9,53,72",30,50,1,1,350,350,,1,"FALSE","Cannon Ball",,,"Gun Smoke Medium","Cannon Shot Small",60,200,"cannon","Shoot","hold","Artillery"
"M15","Light Cannon (canister)",1,9,30,300,0,0,500,80,0,0,25,,"9,53,72",30,40,1,15,100,350,,1,"FALSE","Cannon Ball Small",,,"Gun Smoke Medium","Cannon Shot Small",60,80,"cannon","Canister","hold","Artillery"
"M16","Light Cannon (explosive)",1,9,50,400,0,0,1000,100,0,0,25,,"9,53,72",30,30,1,1,300,350,,1,"FALSE","Cannon Ball",,"Explosion Medium","Gun Smoke Medium","Cannon Shot Small",60,200,"cannon","Shoot","hold","Artillery"
"M17","Heavy Cannon (round)",1,9,45,600,0,0,4000,200,0,0,45,,"9,53,72",45,50,1,1,450,350,,1,"FALSE","Cannon Ball",,,"Gun Smoke Large","Cannon Shot Medium",80,260,"cannon","Shoot","hold","Artillery"
"M18","Heavy Cannon (canister)",1,9,25,500,0,0,600,150,0,0,45,,"9,53,72",45,40,1,15,150,350,,1,"FALSE","Cannon Ball Small",,,"Gun Smoke Large","Cannon Shot Medium",80,120,"cannon","Canister","hold","Artillery"
"M19","Heavy Cannon (explosive)",1,9,45,600,0,0,4000,200,0,0,45,,"9,53,72",45,30,1,1,450,350,,1,"FALSE","Cannon Ball",,"Explosion Medium","Gun Smoke Large","Cannon Shot Medium",80,260,"cannon","Shoot","hold","Artillery"
"M20","Giant Cannon (round)",1,9,20,2000,0,0,10000,500,0,0,80,,"53,72",150,35,1,1,750,350,,1,"FALSE","Cannon Ball",,,"Gun Smoke Huge","Cannon Shot Big",100,350,"giant cannon","Shoot","hold","Artillery"
"M21","Mortar (round)",1,9,50,,0,0,4000,90,0,0,25,,"9,53,72",37,50,1,1,400,250,,1,"FALSE","Cannon Ball",,,"Gun Smoke Medium","Cannon Shot Small",60,400,"mortar","Shoot","hold","Artillery"
"M22","Mortar (Shrapnel)",1,9,20,,0,0,2000,60,0,0,25,,"9,53,72",37,40,1,1,400,250,,1,"FALSE","Cannon Ball","midway_spread",,"Gun Smoke Medium","Cannon Shot Small",60,400,"mortar","Canister","hold","Artillery"
"M23","Mortar (explosive)",1,9,50,,0,0,4000,90,0,0,25,,"9,53,72",37,30,1,1,400,250,,1,"FALSE","Cannon Ball",,"Explosion Medium","Gun Smoke Medium","Cannon Shot Small",60,400,"mortar","Shoot","hold","Artillery"
