"ID","Name","Description"
0,"None",
1,"Human",
2,"Horse",
3,"Camel",
4,"Elephant",
5,"Horse Chariot",
6,"Lion",
7,"Tiger",
8,"Bear",
9,"Boar",
10,"Dog",
11,"Cat",
12,"Snake",
13,"Bird",
14,"Duck",
15,"Llama",
16,"Scorpion",
17,"Spider",
18,"Pig",
19,"Cow",
20,"Buffalo",
21,"Zebra",
22,"Otrich",
23,"Deer",
24,"Wolf",
25,"Dire Wolf",
26,"Swan",
27,"Rat",
28,"Rhino",
29,"Rabbit",
30,"Fox",
31,"Kangaroo",
32,"Lizard",
33,"Sheep",
34,"Goat ",
35,"Bat",
36,"Gorilla",
37,"Bull",
38,"Chicken",
39,"Penguin",
40,"Frog",
41,"Snail",
42,"Hippopotamus",
43,"Leech",
44,"Grasshopper",
45,"Monkey",
46,"Donkey",
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,"Giraffe",
