"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Skill","Trait","Formation"
2.1,"William the Bastard",1,52,51,58,80,89,90,81,6,2,6,7,5,"7,5","1,3","1,3","1,3","5,5","2,4,1","L3,L61",0,"Line,Wedge"
2.2,"William the Conqueror",1,95,96,94,96,97,98,98,8,5,9,8,5,"7,5","1,3","1,3","1,3","5,5","2,5,1","L3,L61",0,"Line,Wedge"
26.1,"Harold II",1,93,90,86,86,93,94,97,10,5,6,8,7,"6,5","1,3","1,3","1,3","5,5","1,0,1","L26,L49",0,"Line,Square"
27,"Gyrth Godwinson",1,,,,,,,74,7,6,6,6,5,"6,5","1,3","1,3","1,3","5,5","1,0,1","L3",0,"Line"
28,"Leofwine Godwinson",1,,,,,,,73,7,6,6,6,5,"6,5","1,3","1,3","1,3","5,5","1,0,1","L3",0,"Line"
36,"Thutmose III",1,,,,,,,95,6,5,8,5,7,"32,5","1,3","1,3","1,3","6,4","100,4,1","L49,L61",0,"Line,Wedge"
37,"King of Kadesh",1,,,,,,,75,7,5,5,5,7,"6,4","1,3","1,3","1,3","15,4","99,4,1","L19",0,"Line"
38,"Prince of Megiddo",1,,,,,,,70,6,6,6,5,5,"6,4","1,3","1,3","1,3","15,4","99,4,1","L3",0,"Line"
39,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,
41,"Taillefer",1,,,,,,,73,1,2,1,8,2,"2,3","1,3","1,3","1,3","15,3","1,0,1","L2",,"Bar"
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
46,"Louis II of Hungary",1,,,,,,,83,7,7,8,,5,,,,,,,"L28,L49",,
47,"Pál Tomori",1,,,,,,,85,7,8,7,,4,,,,,,,"L3,L6",,
48,"György Szapolyai",1,,,,,,,,,,,,,,,,,,,,,
49,"Stephen VII Báthory",1,,,,,,,,,,,,,,,,,,,,,
50,"Jován Cserni",,,,,,,,,,,,,,,,,,,,,,
51,"Ferenc Perényi",1,,,,,,,,,,,,,,,,,,,,,
52,"Péter Perényi",,,,,,,,,,,,,,,,,,,,,,
53,"Péter Bakić",,,,,,,,,,,,,,,,,,,,,,
54,"Pavle Bakić",,,,,,,,,,,,,,,,,,,,,,
55,"Radics Bosics",,,,,,,,,,,,,,,,,,,,,,
56,"Ferenc Batthyány",,,,,,,,,,,,,,,,,,,,,,
57,"Gáspár Ráskai",,,,,,,,,,,,,,,,,,,,,,
58,"Bálint Török",,,,,,,,,,,,,,,,,,,,,,
59,"János Kállai Vitéz",,,,,,,,,,,,,,,,,,,,,,
60,"László Szalkai",,,,,,,,,,,,,,,,,,,,,,
61,"Móré Fülöp of Pécs",,,,,,,,,,,,,,,,,,,,,,
62,"Balázs Paksi of Győr",,,,,,,,,,,,,,,,,,,,,,
63,"Ferencz Csáholi of Csanád",,,,,,,,,,,,,,,,,,,,,,
64,"György Palinai of Bosnia",,,,,,,,,,,,,,,,,,,,,,
65,"János Drágfi",,,,,,,,,,,,,,,,,,,,,,
66,"Ferenc Ország",,,,,,,,,,,,,,,,,,,,,,
67,"Péter Korlátkői",,,,,,,,,,,,,,,,,,,,,,
68,"András Trepka",,,,,,,,,,,,,,,,,,,,,,
69,"Tamás Szécsy",,,,,,,,,,,,,,,,,,,,,,
70,"Gábor Perényi",,,,,,,,,,,,,,,,,,,,,,
71,"Zsigmond Bánfy",,,,,,,,,,,,,,,,,,,,,,
72,"Ferencz Hampó",,,,,,,,,,,,,,,,,,,,,,
73,"János Batthyányi",,,,,,,,,,,,,,,,,,,,,,
74,"István Schlick",,,,,,,,,,,,,,,,,,,,,,
75,"Ferenc Balázsi",,,,,,,,,,,,,,,,,,,,,,
76,"Miklós Tarczay",,,,,,,,,,,,,,,,,,,,,,
77,"János Paksy",,,,,,,,,,,,,,,,,,,,,,
78,"János Istvánfy",,,,,,,,,,,,,,,,,,,,,,
79,"Imre Várady",,,,,,,,,,,,,,,,,,,,,,
80,"Mihály Podmaniczky",,,,,,,,,,,,,,,,,,,,,,
81,"György Orlovsics",,,,,,,,,,,,,,,,,,,,,,
82,"István Aczél",,,,,,,,,,,,,,,,,,,,,,
83,"Zsigmond Pogány",,,,,,,,,,,,,,,,,,,,,,
84,"János Tornally",,,,,,,,,,,,,,,,,,,,,,
85,"János Kállay",,,,,,,,,,,,,,,,,,,,,,
86,"István Kállay",,,,,,,,,,,,,,,,,,,,,,
87,"Miklós Forgács",,,,,,,,,,,,,,,,,,,,,,
88,"Lenart Gnoiński",,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,
93,"Suleiman the Magnificent",1,,,,,,,95,7,9,8,7,5,,,,,,,"L12,L48",,
94,"Pargalı Ibrahim Pasha",1,,,,,,,,,,,,,,,,,,,,,
95,"Malkoçoğlu Bali Bey",1,,,,,,,,,,,,,,,,,,,,,
96,"Gazi Hüsrev Bey",1,,,,,,,,,,,,,,,,,,,,,
97,"Behram Pasha",1,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,
