"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Charge Skill","Skill","Trait","Formation","Sprite ID","Type"
10000,"Huscarl Captain",1,80,70,70,80,50,55,30,7,4,3,3,"14,4","41,4","1,3","1,3","5,4,1","1,0,1",19,"L26",,"Line,Square","Early Saxon","Warrior"
10001,"Thane",1,65,55,60,60,60,65,40,4,4,2,4,"2,4","1,3","1,3","1,3","5,4,1","1,0,1",21,"L1",,"Line","Early Saxon","Leader"
10002,"High Medieval Minor Noble",1,58,52,50,55,55,60,50,4,3,4,4,"2,4","1,3","1,3","1,3","5,4,1","2,3,14",21,,,"Line","Early Noble","Leader"
10003,"High Medieval Noble",1,60,53,50,55,60,65,60,5,5,5,4,"2,4","1,3","1,3","1,3","5,4,1","2,3,14",21,"L1",,"Line","Early Noble","Leader"
10004,"imy-rA mSa",1,,,,,,,,,,,,,,,,,"2,3,14",21,,,,,
10005,"Ur",1,,,,,,,,,,,,,,,,,"2,3,14",21,,,,,
10006,"Late Medieval Minor Noble",1,,,,,,,50,,,,,,,,,,"2,3,14",21,,,,,"Leader"
10007,"Late Medieval Noble",1,,,,,,,60,,,,,,,,,,"2,3,14",21,,,,,"Leader"
10008,"Muru-u",1,,,,,,,,,,,,,,,,,"2,3,14",21,,,,,
10009,,,,,,,,,,,,,4,,,,,,"2,3,14",,,,,,
10010,,,,,,,,,,,,,,,,,,,"2,3,14",,,,,,
10011,,,,,,,,,,,,,,,,,,,"2,3,14",,,,,,
10012,,,,,,,,,,,,,,,,,,,"2,3,14",,,,,,
10013,,,,,,,,,,,,,,,,,,,"2,3,14",,,,,,
