"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15"
10000,"Huscarl Captain","A captain of the fame Huscarl warriors who are one of the fiercest infantries in Europe. Loyal to the king he swear an oath to, this Huscarl captain will fight to the death along with his troop.",,,,,,,,,,,,,,,
10001,"Thane","Saxon thane (or thegn) is the landowner, which is considered to be a minor noble title in Saxon England. Thanes are responsible for governing their local land and raising the militia (fyrd) to respond to the call of war by their king. After the Norman invasion, William the Conqueror replace Saxon political structure with Norman's one and integrate the thane class to Norman knight class.",,,,,,,,,,,,,,,
10002,"High Medieval Minor Noble","In the time of inefficient record, it is impossible to keep track the name of every person who was the leader of the army units let alone participated in the battle. History oftentimes remembers only the major nobles who were the top in the chain of command, but it is important to know that no army can be led by such a few individuals even for an organised mass. These minor nobles were one of such people that often joined their lord army as a minor leader or warrior.",,,,,,,,,,,,,,,
10003,"High Medieval Noble","Not even an important noble would be assuredly recorded in the chronicle of a battle in the time of pre-industrialisation period. The majority of battles in world history did not have historians to record the event or its existence as the well-known battles we know today, some may even be lost to the flow time, accident or intentional erasing. These unnamed nobles still without a doubt aided their sovereign as commanders of the contingent in the battle.",,,,,,,,,,,,,,,
10004,"Knight","A Knight is more than just a warrior. Honour and chivalry in warfare are what differentiate us from mere animals for even in conflicts against the most hated enemy we fought with civility.",,,,,,,,,,,,,,,
10005,"Warlord","In chaotic time only those who can wage war the best are often the winner. A Warlord, as the name suggests, sees warfare as their opportunity to seize power. Let those who know war best lead an army into battle.",,,,,,,,,,,,,,,
10006,"Count",,,,,,,,,,,,,,,,
10007,"Duke",,,,,,,,,,,,,,,,
10008,"Baron",,,,,,,,,,,,,,,,
10009,"Bishop",,,,,,,,,,,,,,,,
10010,"Priest",,,,,,,,,,,,,,,,
10011,"Captain",,,,,,,,,,,,,,,,
10012,"General",,,,,,,,,,,,,,,,
10013,"Lord",,,,,,,,,,,,,,,,
10014,"Royalty",,,,,,,,,,,,,,,,
10015,"Commander",,,,,,,,,,,,,,,,
10016,"Hero","Sometimes a presence of a single person can decide to course of battle. These people are often referred to as Hero in the book of history. A Hero leads their followers by example, the men will fight valiantly when the person they love and respect fight alongside them.",,,,,,,,,,,,,,,
10017,"Champion","A champion can represent the might of an army just as well as thousands of men. Why waste lives when a battle can end with a single death?",,,,,,,,,,,,,,,
10018,"Warrior",,,,,,,,,,,,,,,,
