"ID","Row 1","Row 2","Row 3","Row 4","Row 5","Row 6","Row 7","Row 8","POS","Leader","Leader Position","Facton","Angle","Start Health","Start Stamina","Team"
1,"0,0,6,0,0,0,0,0","0,6,6,6,0,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","500,500","2,10,11,18","2,3,1,7",1,0,100,100,1
2,"6,6,12,6,6,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","400,500","13,6,24,25","2,3,1,7",1,0,100,100,1
3,"5,5,5,5,5,5,5,5","3,4,1,6,6,1,4,2","3,4,1,6,6,1,4,2","0,0,0,5,5,0,0,0","0,4,1,6,6,1,4,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","300,500","7,10,10002,10002","11,12,10,26",1,0,100,100,1
4,"0,0,6,0,0,0,0,0","0,6,6,6,0,0,0,0","6,6,6,6,6,0,0,0","6,6,6,6,6,0,0,0","0,6,6,6,0,0,0,0","0,0,6,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","600,500","10002,1,1,1","2,0,0,0",1,0,100,100,1
5,"6,0,0,0,0,0,0,6","0,6,0,0,0,0,6,0","0,0,6,0,0,6,0,0","0,0,0,6,6,0,0,0","0,0,0,6,6,0,0,0","0,0,6,0,0,6,0,0","0,6,0,0,0,0,6,0","6,0,0,0,0,0,0,6","700,500","10002,1,1,1","1,0,0,0",1,0,100,100,1
6,"6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,6,6,6,6,6,6","6,6,6,6,6,6,6,6","0,0,0,0,0,0,0,0","700,400","10002,1,1,1","0,0,0,0",1,270,100,100,1
7,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","500,400","10000,32,10001,33","4,12,11,13",2,180,100,90,2
8,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","600,400","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
9,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","200,200","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
10,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","300,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
11,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","900,850","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
12,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,600","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
13,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,600","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
14,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,700","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
15,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,700","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
16,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","900,100","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
17,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,200","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
18,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
19,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
20,"26,0,0,0,0,0,0,0","0,19,19,19,19,19,19,19","0,23,24,23,24,23,24,22","0,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,100","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
