"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"L36","150,885",,3,"34:5/200,37:5/100",0,100,100,1
2,"C6","250,885","1",3,"34:10/100",0,100,100,1
3,"C6","150,935","1",3,"34:10/100",0,100,100,1
4,"C6","250,935","1",3,"32:10/300,33:10/300",0,100,100,1
5,"C6","200,975","1",3,"31:10/300,30:10/300",0,100,100,1
6,"C7","550,885","1",3,"35:10/300,33:10/300",0,100,100,1
7,"C7","600,885","1",3,"38:10/100,33:10/300",0,100,100,1
8,"C7","570,935","1",3,"36:10/200",0,100,100,1
9,"C7",,"1",3,"32:10/300,33:10/300",0,100,100,1
10,"C7",,"1",3,"31:10/300,30:10/300",0,100,100,1
11,"C7",,"1",3,"35:10/300,33:10/300",0,100,100,1
12,"C7",,"1",3,"32:10/300,33:10/300",0,100,100,1
13,"C7",,"1",3,"31:10/300,30:10/300",0,100,100,1
14,"C7",,"1",3,"32:10/300,33:10/300",0,100,100,1
15,"L37","500,200",,4,"45:5/100,47:5/50,48:2/10",180,100,100,2
16,"L38","600,200",,4,"45:7/100,47:3/50,48:2/10",180,100,100,2
17,"C9",,"15",,"45:5/50,47:5/50",180,100,100,2
18,"C8","500,150","15",4,"43:10/100",180,100,100,2
19,"C8","450,150","15",4,"43:10/100",180,100,100,2
20,"C10","600,150","15",4,"41:10/300,42:10/300",180,100,100,2
21,"C10","550,150","15",4,"41:10/300,42:10/300",180,100,100,2
22,"C10","650,150","15",4,"44:20/300",180,100,100,2
23,"C10",,"15",4,"44:20/300",180,100,100,2
24,"C10","550,100","16",4,"43:10/100",180,100,100,2
25,"C10","650,100","16",4,"43:10/100",180,100,100,2
26,"C10",,"16",4,"41:10/300,42:10/300",180,100,100,2
27,"C10",,"16",4,"41:10/300,42:10/300",180,100,100,2
28,"C10",,"16",4,"44:20/300",180,100,100,2
29,"C10",,"16",4,"44:20/300",180,100,100,2
