"ID","Troop ID","POS","Leader","Faction","How Many","Angle","Start Health","Start Stamina","Team"
1,"L103","760,800",,1,,90,100,100,1
2,49,"760,801",1,1,20,90,100,100,1
3,1,"760,802",1,1,20,90,100,100,1
4,5,"760,803",1,1,20,90,100,100,1
7,"L26","600,600",,2,,270,100,100,2
8,49,"600,601","7",2,20,270,100,90,2
9,"L27","850,600",7,2,,270,100,90,2
10,26,"850,600",9,2,20,270,100,90,2
11,"L28","600,500",7,2,,270,100,90,2
12,19,"600,501",11,2,100,270,100,90,2
13,"L2","600,700",1,1,,90,100,100,1
14,6,"600,701",13,1,30,90,100,100,1
15,"L5","800,800",1,1,,90,100,100,1
16,7,"800,801",15,1,30,90,100,100,1
