"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"L36","570,885",,3,"34:15/2000,37:15/1000",0,100,100,1
2,"C6","550,905","1",3,"39:15/500,40:15/1000",0,100,100,1
3,"C6","590,905","1",3,"40:10/1000,32:15/5000",0,100,100,1
4,"C6","330,905",,3,"34:25/1000",0,100,100,1
5,"C6","250,905",,3,"34:25/1000",0,100,100,1
6,"C7","570,930","2",3,"35:15/5000,33:15/5000",0,100,100,1
7,"C7","530,930","2",3,"38:15/1000,33:15/5000",0,100,100,1
8,"C7","620,930","3",3,"36:15/2000",0,100,100,1
9,"C7","550,950","3",3,"32:15/5000,33:15/5000",0,100,100,1
10,"C7","300,935","4",3,"31:15/5000,30:15/5000",0,100,100,1
11,"C7","330,935","4",3,"35:15/5000,32:15/5000",0,100,100,1
12,"C7","360,935","4",3,"32:15/5000,33:15/5000",0,100,100,1
13,"C7","300,905","5",3,"31:15/5000,30:15/5000",0,100,100,1
14,"C7","300,905","5",3,"32:15/5000,33:15/5000",0,100,100,1
15,"L37","600,200",,4,"47:5/1000,48:10/500,49:2/100",180,100,100,2
16,"L38","300,200",,4,"47:10/1000,48:7/500,49:2/100",180,100,100,2
17,"C9","400,150","15",,"47:10/500,48:10/500",180,100,100,2
18,"C8","500,150","15",4,"45:15/1000",180,100,100,2
19,"C8","450,150","15",4,"45:15/1000",180,100,100,2
20,"C10","600,150","15",4,"43:15/5000,44:15/5000",180,100,100,2
21,"C10","550,150","15",4,"43:15/5000,44:15/5000",180,100,100,2
22,"C10","650,150","15",4,"46:20/5500",180,100,100,2
23,"C10","600,100","15",4,"46:20/5500",180,100,100,2
24,"C10","450,100","15",4,"41:15/7500",180,100,100,2
25,"C10","650,100","15",4,"42:15/7500",180,100,100,2
26,"C10","350,200","16",4,"45:15/1000",180,100,100,2
27,"C10","250,200","16",4,"45:15/1000",180,100,100,2
28,"C10","200,200","16",4,"43:15/5000,44:15/5000",180,100,100,2
29,"C10","400,200","16",4,"43:15/5000,44:15/5000",180,100,100,2
30,"C10","200,150","16",4,"46:20/5500",180,100,100,2
31,"C10","400,150","16",4,"46:20/5500",180,100,100,2
32,"C10","150,150","16",4,"41:15/7500",180,100,100,2
33,"C10","300,150","16",4,"42:15/7500",180,100,100,2
