"ID","Name","Description"
"M1","Unarmed",
"M2","Trebuchet (Stone)",
"M3","Trebuchet (Fire)",
"M4","Trebuchet (Carcass)",
"M5","Trebuchet (Cluster)",
"M6","Catapult (Stone)",
"M7","Catapult (Fire)",
"M8","Ballista",
"M9","Scorpion",
"M10","Onager",
"M11","Mangonel",
"M12","Hwacha",
"M13","Mounted Crossbow",
"M14","Light Cannon (Round)",
"M15","Light Cannon (Canister)",
"M16","Light Cannon (Explosive)",
"M17","Heavy Cannon (Round)",
"M18","Heavy Cannon (Canister)",
"M19","Heavy Cannon (Explosive)",
"M20","Giant Cannon (Round)",
"M21","Mortar (Round)",
"M22","Mortar (Shrapnel)",
"M23","Mortar (Explosive)",
