"ID","Name","Physical Resistance","Fire Resistance","Water Resistance","Air Resistance","Poison Resistance","Weight","Cost","Trait","Type"
1,"Bronze Plate Armour",60,,,,,50,4000,,"Medium Armour"
2,"Padded Armour",30,,,,,20,1000,,"Light Armour"
3,"Leather Armour",25,,,20,,14,900,,"Light Armour"
4,"Fur Armour",35,-10,-5,10,10,26,1500,"31,50","Light Armour"
5,"Chainmail Armour",50,,,-15,,32,1700,,"Medium Armour"
6,"Scale Armour",60,,,,,40,2500,,"Medium Armour"
7,"Lamellar Armour",55,,,,,36,1900,,"Medium Armour"
8,"Medieval Plate Armour",75,,,,,60,4000,"49,50","Heavy Armour"
9,"Splint Armour",65,,,,,35,3000,,"Medium Armour"
10,"Brigandine Armour",40,,,,,25,2600,,"Medium Armour"
11,"Laminar Armour",60,,,,,30,3500,"82","Medium Armour"
12,"Cuirass Armour",50,,,,,35,3000,,"Medium Armour"
13,"Shell Armour",,,,,,,,,"Light Armour"
14,"Slave Cloth",3,,,,,1,50,,"Light Armour"
15,"Cloth",5,-5,,5,2,4,100,,"Light Armour"
16,"Desert mail hauberk",50,,,,,35,2200,32,"Medium Armour"
17,"Monk Robe",6,-10,,10,3,4,80,,"Light Armour"
18,"Lorica Armour",40,,,,,22,2500,,"Medium Armour"
19,"Desert Cloth",4,-15,,,,2,90,"32,49","Light Armour"
20,"Fur Cloth",13,-10,-5,10,7,10,350,"31,50","Light Armour"
21,"Leather Cloth",15,,,15,,10,500,,"Light Armour"
22,"Mirror Armour",70,,,,,55,4000,,"Heavy Armour"
23,"Ring Mail",55,,,,,40,1500,,"Medium Armour"
24,"Half Plate Armour",60,,,,,33,1700,,"Medium Armour"
25,"Gothic Plate Armour",90,,,,,60,5000,"49,50","Heavy Armour"
26,"Dendra Armour",70,,,,,58,2000,,"Heavy Armour"
27,"Desert Armour",20,,,,,7,1000,"32,49","Light Armour"
28,"Gladiator Armor",27,,,,,7,1250,,"Light Armour"
29,"Brunia Armour",,,,,,,,,
30,,,,,,,,,,
