"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10"
0,"None","No troop",,,,,,,,,,
1,"Norman Swordsmen","These Norman Swordsmen were a group of more affluent warriors, peasants or even mercenaries who were able to acquire a weapon as prestigious as a sword. The swords they used were likely to be in the same category as the Viking sword (Carolingian sword), which was the predecessor to the Medieval knight sword. These swordsmen were one of the most versatile infantries for both defensive and offensive situations.",,,,,,,,,,
2,"Norman Axemen","Contrary to popular belief, swords were not a weapon of choice for infantry in the medieval army. Aside from the obvious choice that is the spear, an axe was one of the more common weapons wielded by both light and heavy infantries alike. Even more so for the Norse descendants, the Normans, who still used a Dane axe just like the Anglo-Saxon infantries.",,,,,,,,,,
3,"Norman Spearmen","Spearmen were the core of almost every army in the entire ancient world. Norman army very likely employed lines of spearmen at the front to counter the enemy cavalries' charge. It may be possible that Harold Godwinson knew of this fact and caused him to order his cavalries to dismount before the Battle of Hastings commenced and concentrated on defensive tactics instead of senseless charges.",,,,,,,,,,
4,"Norman Archers","Archery is a practice that has existed since ancient times. When no weapon, not even the mighty crossbow, can surpass capable archers in battle. Norman army was fielded with many archers, probably in similar or more numbers than the crossbowmen. Out of all range weapons available during the Medieval period, bows were undoubtedly the most balance instrument for annihilating the enemy force.",,,,,,,,,,
5,"Norman Crossbowmen","As the evident records seem to suggest, the Norman forces at the Battle of Hastings brought not only archers but also crossbowmen into their ranks. Of course, due to the lack of technological advancement in the late Medieval period, the crossbows used during the Battle of Hastings were likely to be the equivalent of light crossbows. Nevertheless, such weapons were still capable of penetrating chainmail armour all the same.","Norman Conrois were the elite knights of the Norman army. They were partially organised professional soldiers who received training in the art of warfare since the coming of age. They typically operated and trained in a group of around 50 men. These knights were excellently disciplined and excel in both melee charging and skirmishing tactics due to the influence from the Frank and Breton neighbours' cavalry mastery.","{IMAGE:\data\ruleset\historical\war\lore_image\conroi_1.png}","   ","Picture of Norman Conrois charging in Bayeux Tapestry.","Norman Conrois were armed with several melee weapons similar to medieval knights. Their main weapon was a leaf shape lance similar to Kontos lance but with a much shorter length. The Bayeux Tapestry also shows a picture of Conrois using a wooden club and sword as a secondary weapon. Due to a shorter length of the lance, Coirois were less of a shock cavalry unit and more of heavy melee one. This is also likely why William ordered the frontal cavalry charge against the shield wall directly.","For the protection, they were equipped with chainmail hauberk and coif under a steel helmet similar to other European heavy cavalries at the time. In the off-hand, Conrois used a wooden kite shield, which provides great protection to the whole body on the venerable side and incoming missile attack. Their protective gears were made with no less than the state of the art technology available at the time.",,"Unlike other Norse descendants, the Norman army introduced the employment of heavy cavalry unit as a frontline shock troop due to the influence of their neighbours. Their equestrian skill was no doubt one of the best exemplars of early European knights. Interestingly, the Bayeux Tapestry frequently portrays Conrois holding their spear overhead in combat, which may indicate that their combat technique was maybe significantly different than the common couch lance stance used by other European cavalries. ","Although it is not clearly recorded which breed of warhorse the Conrois ride on, the portrayal of warhorse in Bayeux Tapestry demonstrates several intrigue aspects. The horses' bodies are very thick, muscular and much larger than what would be the leaner Arabian horse breed. Their heads are also disproportionately smaller than the body and the mane are short. It is much likely that the horses were of European breed, possibly the ancestor breed of Percheron horse, which also inhabit in the French region. ",
6,"Norman Conrois","Norman cavalries, Conrois, were the Norman equivalent of Medieval “knights”. Conrois were professional soldiers who received horsemanship and combat training when they came of age. These Conrois were equipped with chainmail armour, a leaf shape spear similar to the Kontos lance used by ancient cavalries. Although considered to be a heavy cavalry type of its own time, Conrois lacked the shock impact of the medieval knights, and their horses were not equipped with any armour.",,,,,,,,,,
7,"Frankish Swordsmen","These Frankish swordsmen were indeed a rare sight on the battlefield. In the Middle age, swords were considered a more noble weapon than most melee weapons at the time. With the majority of the medieval army primarily consisting of militia serfs, most soldiers used weapons that were cheaper to construct and train, such as axes and spears. With a Carolingian sword in one hand and a round shield in another, these men are ready for war.",,,,,,,,,,
8,"Frankish Axemen","Undoubtedly equipped with standard chainmail armour and common weapon used around the Western European at the time, Frankish Axemen are likely to use one hand axe and round shield rather than the Dane axe and kite shield used by the Norman counterpart. Although named Frankish, these soldiers may consist of paid soldiers from all around Europe, of course including his french allies.",,,,,,,,,,
9,"Frankish Spearmen","Just like any other Medieval spearmen, Frankish Spearmen were the standard infantries of the French army in the Middle Age. Armed with a set of spear, shield and chainmail armour, they are one of the very best defensive troops one can have against both infantry and cavalry alike. The French knew too well the upcoming domination of heavy cavalry, for they themselves were one of the inventors of the finest Medieval cavalry force in Europe.",,,,,,,,,,
10,"Frankish Archers","These Frankish Archers can easily dominate any other skirmish and medium infantries units from afar. With superior shooting range, well-balanced damage and reloading trade-off and arc shot capability, they are no doubt the most valuable damage-dealing troops on the battlefield. Therefore, protect them at all costs.",,,,,,,,,,
11,"Frankish Crossbowmen","Frankish crossbowmen were likely to share the same characteristic and equipment as the Norman crossbowmen, similar to how the Norman Conrois adopted cavalry tactics from the French knights. This is because the Normandy region was part of the Kingdom of France's territory at the time. The crossbows that these troops used would be the early type of light crossbow that lacked the shooting power of the war crossbow in the later century.",,,,,,,,,,
12,"Frankish Knights","The Frankish Knights were the finest cavalry force in medieval Europe. Not to be confused with its later medieval counterpart, these knights were the early form of European heavy cavalry. The Frankish knights were comprised of lower nobles who were rich enough to buy equipment, such as chainmail, short lance, and of course, a warhorse. They are ready for charging into the enemy frontline, providing flank support or running down the fleeing cowards.",,,,,,,,,,
13,"Breton Swordsmen","The swordsmen of Brittany were always ready for the call to war. These Breton Swordsmen were superb frontline infantries for both their armies and allies. They will be able to hold the lines on their own while also inflicting serious damage on any fool who dares to challenge the might of Celtic descendants.",,,,,,,,,,
14,"Breton Axemen","These axemen from Brittany were great additions to the frontline of the Breton army. Although not as ferocious as the Norman or Saxon Axemen who adopted the battle tactic from their Norse forefather, Breton Axemen are more proficient in defensive operations while still possessing a superb offensive capability. Surely any capable leader will be able to utilise their unmatched versatility to great effect.",,,,,,,,,,
15,"Breton Spearmen","In a time of chaos, even an inexperienced farmer must train in the art of combat. There was no such weapon as accessible as a spear in the era of melee weapons. Almost any minimally trained spearmen contingent should be capable of holding spears in line to form a formidable spear wall against incoming enemies. These Breton Spearmen were, of course, no less capable than any other spear infantries.",,,,,,,,,,
16,"Breton Archers","For a person to be capable of archery for combat, one must train or be trained in the art for a significant amount of time. These Breton Archers were valuable prizes of the Brittany army. Although considered to be militia in war, they were no less experienced than professional archers. The sight of a darkening sky from the rain of arrows must be terrifying indeed.",,,,,,,,,,
17,"Breton Crossbowmen","Capable of rendering chainmail almost completely irrelevant, these Breton Crossbowmen were not to be trifle with. Only the most stalwart defence could stop the penetrating bolt of these crossbows, even if they were not as powerful as the later improved version. It is even better that these Crossbowmen can be easily trained in a short amount of time compared to their archer counterpart.",,,,,,,,,,
