"ID","Name","Type","Size","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Physical Resistance","Fire Resistance","Water Resistance","Air Resistance","Poison Resistance","Trait","Mount Armour","Special Hair Part","Special Body Part"
1,"Human","Civilise",10,50,50,50,50,50,50,0,0,0,0,0,,"FALSE",,
2,"Horse","Beast",14,125,30,80,60,20,24,0,0,0,0,30,,"TRUE","tail","neck"
3,"Camel","Beast",14,130,30,65,65,15,17,0,0,0,0,30,64,"TRUE",,"neck"
4,"Elephant","Beast",28,200,32,35,110,22,30,10,0,0,0,50,,"TRUE",,
5,"Horse Chariot","Beast",20,170,30,70,65,18,24,20,-5,0,0,0,77,"TRUE",,
6,"Lion","Beast",12,140,40,75,65,17,26,5,0,0,0,0,,"TRUE",,"neck"
7,"Tiger","Beast",12,138,42,75,65,19,28,5,0,0,0,0,,"TRUE",,"neck"
8,"Bear","Beast",16,145,33,65,80,15,25,20,,,,,,"TRUE",,
9,"Boar","Beast",7,90,28,60,70,13,18,10,,,,,,"TRUE",,
10,"Dog","Beast",5,40,32,65,40,20,29,0,,,,,,"TRUE",,
11,"Cat","Beast",3,18,47,70,21,20,27,0,,,,,,"TRUE",,
12,"Snake","Beast",2,21,32,40,29,10,5,3,,,,,,"TRUE",,
13,"Bird","Beast",3,12,45,70,13,17,26,0,,,,,,"TRUE",,
14,"Duck","Beast",3,10,26,40,18,20,15,0,,,,,,"TRUE",,
15,"Llama","Beast",8,,,40,,,,0,,,,,,"TRUE",,
16,"Scorpion","Beast",2,8,45,20,,,,5,,,,,,"TRUE",,
17,"Spider","Beast",1,6,65,30,,,,0,,,,,,"TRUE",,
18,"Pig","Beast",7,48,21,40,60,26,30,5,,,,,,"TRUE",,
19,"Cow","Beast",14,120,27,30,68,15,23,5,,,,,,"TRUE",,
20,"Buffalo","Beast",15,135,29,35,72,13,20,10,,,,,,"TRUE",,
21,"Zebra","Beast",14,115,31,70,,,,0,,,,,,"TRUE",,
22,"Otrich","Beast",9,80,28,75,,,,0,,,,,,"TRUE",,
23,"Deer","Beast",8,,,75,,,,0,,,,,,"TRUE",,
24,"Wolf","Beast",6,80,,75,,20,28,0,,,,,,"TRUE",,
25,"Dire Wolf","Beast",12,110,,70,,22,32,0,,,,,,"TRUE",,
26,"Swan","Beast",3,24,,42,,,,0,,,,,,"TRUE",,
27,"Rat","Beast",2,4,,64,,16,28,0,,,,,,"TRUE",,
28,"Rhino","Beast",16,170,,60,,,,20,,,,,,"TRUE",,
29,"Rabbit","Beast",3,5,,68,,,,0,,,,,,"TRUE",,
30,"Fox","Beast",4,20,,76,,,,0,,,,,,"TRUE",,
31,"Kangaroo","Beast",9,75,60,65,,,,0,,,,,,"TRUE",,
32,"Lizard","Beast",3,,,55,,,,0,,,,,,"TRUE",,
33,"Sheep","Beast",7,,,45,,,,0,-15,,,,,"TRUE",,
34,"Goat ","Beast",7,,,45,,,,0,,,,,,"TRUE",,
35,"Bat","Beast",2,,,80,,,,0,,,,,,"TRUE",,
36,"Gorilla","Beast",16,,,55,,,,10,,,,,,"TRUE",,
37,"Bull","Beast",15,,,63,,,,15,,,,,,"TRUE",,
38,"Chicken","Beast",3,,,38,,,,0,,,,,,"TRUE",,
39,"Penguin","Beast",6,,,27,,,,0,,,,,,"TRUE",,
40,"Frog","Beast",2,,,24,,,,0,,,,,,"TRUE",,
41,"Snail","Beast",1,,,5,,,,2,,,,,,"TRUE",,
42,"Hippopotamus","Beast",18,,,55,,,,10,,,,,,"TRUE",,
43,"Leech","Beast",1,,,4,,,,0,,,,,,"TRUE",,
44,"Grasshopper","Beast",1,,,60,,,,0,,,,,,"TRUE",,
45,"Monkey","Beast",5,,,70,,,,0,,,,,,"TRUE",,
46,"Donkey","Beast",8,,,55,,,,0,,,,,,"TRUE",,
47,"Giraffe","Beast",,,,,,,,,,,,,,"TRUE",,
48,"Light Artillery","Machine",11,0,0,0,0,0,0,40,-30,0,0,0,,"TRUE",,
49,"Medium Artillery","Machine",17,0,0,0,0,0,0,50,-30,0,0,0,,"TRUE",,
50,"Large Artillery","Machine",24,0,0,0,0,0,0,60,-30,0,0,0,,"TRUE",,
51,"Giant Artillery","Machine",35,0,0,0,0,0,0,70,-30,0,0,0,,"TRUE",,
