"ID","Name","Description"
"1","Fearless Charge","Fear only bring the weakest of men. To be fearless is to charge on even against the face of death itself."
"2","Glorious Charge","Glory to those who brave the fear of death and charge onward to the unknown."
"3","Steady Charge","Steady but not too slow will win even more races and battles."
"4","Frenzied Charge","Mindless and aggressive make the most powerful charge."
"5","Devastating Charge","What is a better objective of a charge aside to devastate the enemies utterly?"
"6","Stampede","Under the iron hooves and beneath the blazing sun, only the strongest can rise up again."
"7",,
"8","Cover Charge","Risky yet safe. Shield at the front and no archer or spearman can halt your advance."
"9","Agile Charge","Agility is the most important aspect of a charge. You do not really charge by standing still, do you?"
"10","Highland Charge",
"11","Dread Charge","Oh great horror, what sin did we do to bring you into us."
"12","Banzai Charge",
"13","Reckless Charge",
"14","Hidden Charge","It should be practically impossible to charge while remaining hidden. And how can someone defend against such an impossible feat?"
"15","Clumsy Charge","Some troops are just not suitable for charging, whether it be because of their insufficient training or unsuitable equipment."
"16","Heroic Charge","Just follows the hero, and everything will be alright. They become masters of battle by staying alive after all."
"17","Weak Charge","A weak charge can often time results in total disaster. Exercise charging tactic for troops with this skill with caution."
"18","Slow Charge","Due to the troop's equipment weight, its charge is much slower than usual and less effective overall."
"19","Charge","An act of charging is often one of the most crucial turning points in any battle. A successful charge can deliver a massive shocking blow to enemies that completely destroy their morale, or it can be a total disaster that results in a retreat of the charge initiator instead."
"20","Chanting Charge",
"21","Leading Charge",
"22","Reconnaissance","Only the very best of plans can be created from the most thorough information gathering process."
"23","Berserk",
"24","Spear Schiltron",
"25","Spearwall","Spearwall is a simple yet effective method to counter a charging unit. It is difficult to dodge an object when you are rushing at full speed, after all."
"26","Spearguard","Due to the length of the spear, a well-positioned spear stance can already improve the defence ability significantly."
"27","Shieldwall","What is the most common tactic used in the most disciplined troops by every world-conquering empire? The answer is always shieldwall. The key basis of winning the war is to avoid having the soldiers die in senseless deaths. The longer the soldiers survive in the war, the more experience in killing they become. And a more experienced soldier make a more effective army."
"28","Shield Turtle","Defensive yet still mobile. This tactic is superb against approaching enemy armies that excel in range attacks."
"29","Shield Dome","The ultimate defence tactic. This shield dome leaves no vulnerable spot for an enemy to attack."
"30","Shield Barrier",
"31","Shield Fortress",
"32","Rapid Shots","Opportunity to attack is of the essence, especially for archers on a battlefield. The more arrows remain in the quiver equate to the less enemy killed."
"33","Rapid Defense",
"34","Rapid Attack","Strike fast enough, and the enemy will never know what hit them."
"35","Rapid Advance","Speed can often determine the fate of a battle and even war. Being faster than the enemy is never a disadvantage."
"36","Steady Aims","The most important part of range weaponry is to hit the target. Arrows missed are arrow wasted."
"37","Steady Shield","The art of defence begins with stability. No unsteady shield can defend against harm for its user."
"38","Ruthless Pursuit",
"39","Cantabrian Circle","A manoeuvre that is only possible with the mastery of both equitation and archery. To attack even when moving is the pinnacle of warfare."
"40","Hold Ground","""Hold your ground men! No enemy will pass through this place as long as we are here.""  "
"41","Pikewall","The deadly charge of cavalry was the domination tactic on the battlefield until the invention of the pikewall tactic. By simply having infantries holding pikes in line, an impregnable wall is created, "
"42","Hidden Pike","A nasty surprise. Who can expect a complete death trap in their charge to glory? Only fool fight a fair fight."
"43","Warcry",
"44",,
"45",,
"46","Second Wind","One more push to victory. Such a chance never come often. "
"47","Random Throwing","Sacrificing accuracy for speed can be beneficial if the situation does not permit taking time to aim."
"48","Sand Pocket","Throwing sand to the eyes is a trick as old as humanity itself."
"49","Arrow Shower","Deadly rain that can blotch the sun for eternity."
"50",,
"51",,
"52",,
"53",,
"54","Unwavering Resolve","Never give up, never surrender!"
"55","Heroic Resolve","Always prevail, always resolute!"
"56","Stalwart Defense",
"57","Sudden Fortitude","A sudden burst of life will catch anyone off-guard."
"58","Iron Wall","None shall pass!"
"59","Focus Strike","Focus and steady!"
"60","Absolute Devotion","God rewards only those that give absolute devotion to him."
"61","Provoke","""Hey over here! Come and get me."" *all kind of rude gesture*"
"62","Pinpoint Shot","Waste not the arrows nor mind."
"63","Swift Thrusts",
"64","Poison Attack","Poison at the tip of a blade never fails to disappoint, especially for those who receive it."
"65","Suppressing Fire",
"66","Impact Slam",
"67","Callback Companion",
"68","Unleash Companion",
"69","Battle Prayer","Prayer for safety and victory. Preparing for the departure."
"70","Healing Support","You will be healed and ready to take up your arms to repeal the enemy once again."
