"ID","Name","Status Conflict","Max Stack","Duration","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Melee Speed Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Special Effect","Status Sprite","Type"
1,"Fearless",,1,10,,,,,,,,,0,0,0,200,0,0,,0,,,,,,,,,,,"Buff","Buff"
2,"Fear","1,3",1,10,,,,,,,,,0,0,0,-30,0,0,,0,,,,,,,,,,,"Debuff","Debuff"
3,"Hope",2,1,10,,,,,,,,,0,0,0,30,0,0,,0,,,,,,,,,,,"Buff","Buff"
4,"Stampede",,1,10,,85,85,,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,"Debuff","Debuff"
5,"Disrupt",,1,10,90,90,90,90,90,90,90,90,-20,0,0,-20,10,0,,0,,,,,,,,,,,"Debuff","Debuff"
6,"Hidden",,1,30,,,,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,"Buff","Buff"
7,"Blind",,1,60,50,50,30,70,10,,30,50,-70,0,0,0,0,-500,,0,,,,,,,,,,,"Debuff","Debuff"
8,"Fight To The Death",,1,5,120,120,,,,,,,30,0,0,0,15,,,0,,,,,,,,,,"0,2","Buff","Buff"
9,"Sleep",,1,60,0,0,-50,0,0,,0,0,-100,0.5,1,0,0,,,0,,,,,,,,,,0,"Debuff","Debuff"
10,"Panic",,1,30,10,10,10,80,10,,10,10,-90,0,0,-50,-50,,,0,,,,,,,,,,0,"Debuff","Debuff"
11,"Berserk",,1,120,170,10,0,150,0,150,0,150,-50,0,0,50,-70,,,10,,,,,,,,,,0,"Buff","Buff"
12,"Confuse",,1,30,30,50,50,60,10,30,10,20,-30,0,0,0,-100,,,0,,,,,,,,,,"0,1","Debuff","Debuff"
13,"Run Amok",,1,60,130,0,0,130,,120,,130,-20,0,0,-30,-200,,,20,,,,,,,,,,"0,1","Debuff","Debuff"
14,"Unconscious",,1,30,0,0,0,0,0,0,0,0,-100,0,0,0,0,,,0,,,,,,,,,,"0,1","Debuff","Debuff"
15,"Oiled",,1,60,80,,,80,80,80,80,80,-10,0,0,0,0,,,0,,-50,,,,,,,,,"Debuff","Debuff"
16,"Plague",,3,300,70,80,80,80,60,60,50,50,0,-5,-5,-20,-10,,,0,,,,,,,,,,,"Debuff","Debuff"
17,"Stun",,1,5,50,50,50,50,50,50,50,50,50,0,0,0,-30,,,0,,,,,,,,,,,"Debuff","Debuff"
18,"Poison",19,5,60,,,,,,,,,0,-15,-1,-5,0,,,0,,,,,,,,,,,"DOT","DOT"
19,"Deadly Poison",,5,60,80,,,,,,,70,0,-50,-4,-10,-5,,,0,,,,,,,,,,,"Debuff","Debuff"
20,"Burn","21,23,38,46,47,49",1,10,,,,,,,,,0,-100,0,-10,0,0,0,50,,,,,,,,,,,"DOT","DOT"
21,"Freeze","20,37",1,30,40,60,60,30,40,40,40,20,-30,-20,-10,-20,-20,,,0,,,,,,,,,,0,"Freeze","Debuff"
22,"Shock",39,1,30,50,50,50,30,,60,50,20,-35,0,0,0,0,,,0,,,,,,,,,,,"Debuff","Debuff"
23,"Wet",38,1,30,,,,95,,,,80,0,0,0,0,0,,,-25,,,-25,-50,,,20,-20,,,"Debuff","Debuff"
24,"Whistle Arrow",,1,30,80,80,80,,80,,80,,-15,0,0,-15,-15,,,0,,,,,,,,,,,"Debuff","Debuff"
25,"Drunk",,1,600,,80,60,,,,,,-35,0,0,30,-50,,,0,,,,,,,,,,,"Debuff","Debuff"
26,"Cripple",,5,300,75,80,,80,80,80,80,80,-20,0,0,0,0,,,0,,,,,,,,,,,"Debuff","Debuff"
27,"Slow",,5,60,,,,75,,,90,80,0,0,0,0,0,,,0,,,,,,,,,,,"Debuff","Debuff"
28,"Knock Down",,1,5,,,,,,,,,-60,0,0,0,-60,,,0,,,,,,,,,,0,"Debuff","Debuff"
29,"Disarmed",,1,,,,,,,,,,-80,0,0,0,0,,,0,,,,,,,,,,"4,5","Debuff","Debuff"
30,"Cure",,1,10,,,,,,,,,0,,,,,,,0,,,,,,,,,,,"Buff","Buff"
31,"Bleeding",,5,60,95,,,95,,90,95,95,0,-20,,-5,-5,,,0,,,,,,,,,,,"DOT","DOT"
32,"Smoke",,1,2,,,,,,,,,30,,,,,,,0,,,,,,,,,,,"Debuff","Debuff"
33,"Suppressed",,1,15,,,120,30,,,,,0,0,0,,,,,0,,,,,,,,,,,"Debuff","Debuff"
34,"Unleash Companion",,1,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,"Buff","Buff"
35,"Provoke",,1,,130,50,50,,,,,,0,0,0,,,,,0,,,,,,,,,,,"Debuff","Debuff"
36,"All Round Defence",,1,5,,,,,,,,,0,,,,,,,0,,,,,,,,,,,"Buff","Buff"
37,"Severe Burning","21,38,46,47,49",1,10,,,,,,,,,0,-150,0,-50,0,0,0,70,,,,,,,,,,,"DOT","DOT"
38,"Drench",37,1,60,,,,85,,,,50,0,0,0,0,0,0,0,-50,,-50,-75,,,,35,-40,,,"Debuff","Debuff"
39,"Electrocution",,1,,,,,,,,,,,-40,-5,-20,-30,0,0,0,,,,,,,,,,,"Debuff","Debuff"
40,"Cold","21,41",1,10,80,90,90,90,80,90,80,80,0,0,-1,-10,0,0,0,0,,,,,,,-15,,,,"Cold","Debuff"
41,"Hot","21,40,42",1,10,80,90,90,90,80,90,80,80,0,0,-1,-10,0,0,0,0,,,,,,,,-15,,,"Hot","Debuff"
42,"Heatstroke","21,40",1,30,50,50,50,80,50,60,50,50,-50,-20,-5,-30,-20,0,,0,,,,,,,,,,,"Debuff","Debuff"
43,"Decimated",,1,60,,,,,,,,,0,0,0,50,40,0,0,0,,,,,,,,,,,"Buff","Buff"
44,"Enraged",,1,60,200,,,,,110,90,150,0,0,0,50,,,,0,,,,,,,-10,,,,"Debuff","Debuff"
45,"Dishonourable Displayed",,1,1200,,,,,,,,,,0,0,-30,-25,0,,0,,,,,,,,,,,"Debuff","Debuff"
46,"Sink",47,1,2,,,,,,,,,0,-60,-5,-30,-10,0,,0,,,,,,,,,,,"Debuff","Debuff"
47,"Drown",,1,2,,,,,,,,,0,-120,-10,-50,-30,0,,0,,,,,,,,,,,"DOT","DOT"
48,"Quicksand Sink",,1,1,,,,,,,,,0,-40,-5,-20,0,0,,0,,,,,,,,,,,"DOT","DOT"
49,"Swimming","46,47",1,1,,,,,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,"Debuff","Debuff"
