"ID","Name","Description"
"1","Fearless","Being fearless is a beneficial trait in a place of life and death in battle. Although fear allows a person to survive longer to fight another day, being fearless is more of a double-edged sword."
"2","Fear","There should be no fear in the machine of war. Fear makes even obedient soldiers refuse to follow the command after all."
"3","Hope","Optimism to survive and see the better days is good. A soldier always fights harder when there is hope."
"4","Stampede",
"5","Disrupt","Disruption must be quelled before chaos breaks out."
"6","Hidden","Unseen by enemies. Ambush them at the right time, and you may win this battle effortlessly."
"7","Blind","Blindness is pretty much the equivalent of certain death in battle. Unable to both attack and defend, such disability must be treated as soon as possible."
"8","Fight To The Death","These troops are already broken but cannot flee from battle. They will fight to the last man."
"9","Sleep","While sleeping is good for the body, sleeping at the wrong time and place is not a wise thing to do."
"10","Panic","""Forward! I said forward you fool! Listen to my command!"""
"11","Berserk","Desolation, destruction, elimination and eradication! Stop at nothing until your enemy is no more."
"12","Confuse","""Where is the enemy? What is going on? Why is everyone around me doing nothing?"""
"13","Run Amok","Cavalry troops have one downside is that their mounts can run amok from anything that spooks them, Be it fire or very loud noise or even stress. This makes their mount uncontrollable and will attack anyone in their path."
"14","Unconscious","Being unconscious in battle is often a death sentence, especially in melee combat."
"15","Oiled","Oiled up and ready to be cooked. These troops will catch fire much faster."
"16","Plague","Anyone with a plague is dangerous to everyone around him, especially when so many people are staying so close in tight formation."
"17","Stun","Vision blur, hearing deafen, regain oneself or be perished."
"18","Poison","A dangerous substance that causes damage over time. Endure and hope for the best or seek aid."
"19","Deadly Poison","A deadly poison that cannot be cured. Very few can survive this painful experience, and even fewer can live a long life after."
"20","Burn","Dead by burning is not a good way to go. Try to drench yourselves as soon as possible."
"21","Freeze","Frozen in place and time. Nothing to be done but wait."
"22","Shock",
"23","Wet","Being wet can either be good or bad. Fire and burning become much less effective, but the damage and effect of air and water become a dangerous threat."
"24","Whistle Arrow",
"25","Drunk","Getting drunk in battle may not be the smartest thing to do, but It sure helps raise the morale and fierceness of the troops."
"26","Cripple","Cripple in body, but can the heart hold out? Only time will tell."
"27","Slow","Slowing to a crawl. Best be steady, or you may lose both race and war."
"28","Knock Down","No matter how many times you get knocked down, only by getting up is when you can fight again."
"29","Disarmed","Losing a weapon is a shame that any warrior worth their salt should reconsider their life. But now is a good time to run."
"30","Cure",
"31","Bleeding","A bleeding wound is often not much emergency issue in the face of life and death in battle. Such a wound still takes its toll in long term, though."
"32","Smoke","Smoke reduces the sight of these troops, making them less effective in combat, but improves range defence."
"33","Suppressed","These troops are being suppressed by range attacks making them almost unable to move. But it also improves their range defence."
"34","Unleash Companion",
"35","Provoke","Exploited by the sin of wrath. The enemy must be vanquished!"
"36","All Round Defence","The perfect form of fighting with no weakness. This will surely be worth the tale of heroism."
"37","Severe Burning","The burning wounds become so severe now that simply drenching the fire may not save the person any more. This also causes panic among the troop trying to flee from such fire."
"38","Drench","Wet from head to toes, almost as if swimming in the water. Avoid cold temperature or air element damage at all costs."
"39","Electrocution",
"40","Cold","Cold and shivering. Not a good sign for winter warfare. Find some place warm or light up the fire."
"41","Hot","Hot, is it not? Be careful of heatstroke."
"42","Heatstroke",
"43","Decimated","Decimation can increase the morale of the troops for a short while so they can fight longer before they realise that surrender may be an option after all. "
"44","Enraged","Anger clouded rational judgment. Exploit this momentary weakness or suffer the punishment. "
"45","Dishonourable Displayed",
"46","Sink",
"47","Drown","Drowning is not the most comfortable way to go."
"48","Quicksand Sink","Worse than any other kind of death when you can see an escape in sight but cannot grasp it."
"49","Swimming",
"50","Collapse","Collapsing may allow one to recover strength. If they can wake up again, that is."
"51","Muddy Leg",
"52","Wet Gunpowder",
