"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Trait","Ability","Mana","Race","Description"
1,"None",0,0,0,0,0,0,0,,0,0,1,
2,"Remance of House Malabel",120,91,5,2,9,7,5,"8, 13, 18",1,0,1,"Cavalry general of House Malabel. Joined military at age 17 and become general at age 26. He is expert in heavy cavalry tactic and won various battles against enemies of Mocnan Kingdom throughout his military career. As he grows older, he wishes that his name will be remembered alongside other greatest heroes."
3,"Amunsa",140,31,6,1,1,8,2,,2,0,1,"It is often said that creation represents the personality of the creator. The weapons that Amunsa created were all in the hand of the greatest warriors and rulers in written history. The perfection of quality comes not only from pure talent but also thousand hours of hard-working practice. His arts were even praised by the dwarf craftsmen, something that no human ever have the grace to ever receive it. "
4,"Jonas Elbadai",100,86,4,8,3,4,8,14,3,,1,"The world is not only made of black and white. It existed in many shades of colour, maybe even the colours we can never see. So does a person and his or her characteristics. But must so-called characteristic be constant? What would happen if a person can change his personality in the matter of friction of a second? Not simply faking it but completely alters it at the very core to become a completely new identity. Can such a thing even be called person anymore or it becomes something incomprehensible entirely? "
5,"Vars Karsunlaamt",999999,77,8,1,2,10,8,"1, 6, 8",4,0,1,"Peerless warrior who always seek a new challenge. His growth and lust in fighting know no bounds. His single-mindedness is very troublesome for many people involved in his life. Now a king of Masendor, the hero of Meskemdar, the first of house Karsunlaamt. His rule will certainly bring change to the history of the whole world."
6,"Vasla",100,6,1,5,0,5,1,,5,0,1,
7,"Orsanoas",200,41,7,0,1,10,4,"8,9",6,0,1,"A mighty warrior in the companion of mighty fellows. Orsanoas is brutish as much as honest, quick to anger and even quicker to decide. He does not take kindly to deception and will swiftly cut down anyone whom he thinks has wronged him. Despite being a warrior, Orsanoas does not flavour wearing any armour of sort. His favourite weapon seems to be a giant swordstaff named ""Aetel""."
8,"Fenryu",100,68,4,8,2,4,4,,7,,1,
9,"Saltun Gadid",70,80,3,4,3,1,8,21,8,,1,
10,"Raasohd",100,84,7,7,7,5,5,,9,0,1,
11,"Gaf Ra Naf Ma Ko Nunoada",100,93,6,5,8,3,4,,10,0,1,
12,"Abubaba",120,38,4,2,8,7,2,,11,,1,
13,"Veno",60,100,4,3,3,2,8,26,12,,1,
14,"Lesenyre",150,37,8,1,4,9,3,,13,,1,
15,"Little Boy",999999,21,1,1,0,0,3,,14,,1,
16,"Aquanturas",100,91,2,8,9,4,5,,15,0,1,
17,"Bigboy",200,15,3,0,0,8,3,15,16,0,1,
18,"Rodhinbar Leafleft Rora",110,67,5,9,2,7,3,,17,,1,
19,"Savalorse",100,50,4,7,1,3,4,,18,,1,
20,"Ladun Ladanlasia Makan Og Gumdmoiq",145,74,8,5,3,8,8,,19,,1,
21,"Venswa",90,85,2,6,2,3,8,,20,,1,
22,"Dohejah",100,14,3,7,1,8,2,,21,,1,
23,"Venvilov of House Tarlsov",100,95,6,6,3,2,8,,22,,1,
24,"Garun",130,79,7,5,2,7,8,,23,,1,
25,"Saqir the Pitiful",100,86,8,9,8,4,8,,24,,1,"There is no other king in history more pitiful than Saqir the Pitiful. Despite his talent and ingenious rulership, he just simply cannot overcome his extraordinarily bad luck. His country will fall to ruin no matter what he accomplishes as he can only delay the inevitable and he himself aware of such fact. Can the course of history be changed by unseen external being or the card of fate cannot be turned over."
26,"Solwal",150,,,,,7,4,,25,,1,
27,"Zy",100,30,4,4,4,5,3,,26,,1,
28,"Old Man Hona The Sacred Flame",5000,42,1,1,1,10,2,26,27,,1,
29,"Bahmarn The Eternal",5000,68,4,1,1,10,2,27,28,,1,
30,"Elmaliern",50,22,1,1,1,1,3,,29,,1,
31,"Tulia",110,70,5,9,4,4,4,,30,,1,
32,"Adaqua",110,64,3,8,1,5,2,,31,,1,
33,"Feydiavy",130,44,5,1,1,8,3,,32,,1,
34,"Miyilya Cui An",100,75,6,7,2,3,2,,33,,1,
35,"Parna Roldorn",120,88,6,4,8,7,4,,34,,1,
36,"Vraesier",1000,27,7,1,1,10,2,,35,,1,"There is a tale of abomination entity that resides in the Forest of Skangra. This mysterious creature has one eye and wears the skin of female clad in tattered armour swings its monstrously huge great sword at whoever crosses its path. Rumour is that this creature once was seen talking to another similar female creature or even travel together. Nobody knows where they came from or why they stalk the forest but the first sighting was around 20 years ago by the hunter whose arm got chopped off."
37,"Nraesier",1000,53,5,4,1,9,2,,36,,1,
38,"Niavesia The Royal Knight",130,85,9,5,4,8,4,8,37,,1,"Captain of the elite royal guard unit, Milingrels. The Protector of Tower Throne. She is born into a soldier family and discovers talent in fighting at a young age. After proving herself in the Trial of Giasarost at age 20, she becomes the personal bodyguard to the royal family of Werlermar House. "
39,"Eona Suermphael",40,41,2,2,1,1,3,,38,,1,
40,"Ralaviel",150,,,,,7,4,,39,,1,
41,"Aunnial The Holy Maiden",2500,90,8,2,1,10,7,"13,21,26",40,,1,"Out of 10 Holy Maidens that show the most aptitude to ""Holy"" magic in Valle, Aunnial is the only one that passed the Night of Suffering Ritual at age 9, which make her the fourth Holy Maiden in history that pass it. Her ability to channel to the magic is far above even some of the most powerful wizard. Although lacking in the combat and leading proficiency, her role as the Holy Maiden and the belief that she will protect the country from all evils make her authority reaching to the point of worshipping."
42,"Liwa of House Tarlsov",80,95,6,8,1,1,8,,41,,1,"The Empire of Flowers is at risk of invasion from all side, with the fall of Masendor and the rise of the commoner king is the foretold of the end of an era. To safeguard her empire, empress Liwa Tarlsorv strengthens her resolve to unite humanity together against the threat of corruption despite her husband more liberal rulership. Only when united against the common threat can the human race survive in this harsh and unforgiving world.  "
43,"Pao La Sin",140,71,6,8,3,5,8,,42,,1,
44,"Sasinola",30,10,1,2,0,0,3,,43,,1,
45,"Ab",40,,,,,1,2,,44,0,1,
46,"Unsi Ed and Ana Bi",300,4,3,9,1,8,0,,45,,1,
47,"Cenelalenie",60,39,1,1,1,1,2,,46,,1,
48,"Sonagsha",500,17,0,2,0,4,2,,47,,1,
49,"Mounniley Leitanonde",180,86,8,4,2,8,7,,48,,1,"I am Mounniley Leitanonde and I am called a hero by some, even a villain by some others. This is not the story of my journey but rather the story of this world. I am a mere character in it and I will act accordingly. My hero companions will accompany me through this road of a godless dream until this world is no more."
50,"Porcehwik",,,,,,,,,,,1,
51,"Lekinsie",100,,,,,,5,,,,1,
52,"Odtamile",,,,,,,,,,,1,
53,"Enshomair",,,,,,,4,,,,1,
54,"Da Kedeus",,,,,,,2,,,,1,
55,"Amgarn",130,35,10,0,1,9,2,,,,1,
56,"Gonse The Small Face",,,,,,,,,,,1,
57,"Kirnharl",110,64,7,7,3,7,1,,,,1,
58,"Raenid The Hero",50,5,0,0,0,1,2,,,,1,
59,"Maslilna",,,,,,,,,,,1,
60,"Laggail",,,,,,,,,,,1,
61,"Arlarges",100,,6,9,2,8,1,,,,1,
62,"Sinanliae",,,,,,,,,,,1,
63,"Del Ghern",,,,,,,,,,,1,
64,"Nadvalin",,,,,,,,,,,1,
65,"Duhon",,,,,,,,,,,1,
66,"Badunoh",,,,,,,,,,,1,
67,"Mavilros",,,,,,,,,,,1,
68,"Havill",,,,,,,,,,,1,
69,"Nemhus",,,,,,,,,,,1,
70,"Luentose",,,,,,,,,,,1,
71,"Herlernish",,,,,,,,,,,1,
72,"Vurus",,,,,,,,,,,1,
73,"Adupelel",,,,,,,,,,,1,
74,"Unique Bek",,,,,,,2,,,,1,
75,"Op Pajulu",,,,,,,4,,,,1,
76,"Taladamun",,,,,,,,,,,1,
77,"Ladarnsuds",,,,,,,,,,,1,
78,"Mohge",,,,,,,4,,,,1,
