"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Trait","Ability","Mana","Race","Description"
1,"None",0,0,0,0,0,0,0,,1,0,1,
2,"Remance of House Malabel",1250,91,5,2,9,7,5,"8, 13, 18",2,0,1,"Cavalry general of House Malabel. Joined military at age 17 and became general at age 26. He is an expert in heavy cavalry tactics and won various battles against enemies of the Mocnan Kingdom throughout his military career. As he grows older, he wishes that his name will be remembered alongside other greatest heroes."
3,"Amunsa",1400,31,6,1,1,8,2,,3,0,1,"It is often said that creation represents the personality of the creator. The weapons that Amunsa created were all in the hand of the greatest warriors and rulers in written history. The perfection of quality comes not only from pure talent but also thousand hours of hard-working practice. His arts were even praised by the dwarf craftsmen, something that no human ever have the grace to ever receive it. "
4,"Jonas Elbadai",1000,86,4,8,3,4,7,14,4,,1,"The world is not only made of black and white. It existed in many shades of colour, maybe even the colours we can never see. So does a person and his or her characteristics. But must so-called characteristic be constant? What would happen if a person can change his personality in the matter of friction of a second? Not simply faking it but completely alters it at the very core to become a completely new identity. Can such a thing even be called person anymore or it becomes something incomprehensible entirely? "
5,"Vars Karsunlaamt",9999999,77,8,1,2,10,7,"1, 6, 8",5,0,1,"Peerless warrior who always seek a new challenge. His growth and lust in fighting know no bounds. His single-mindedness is very troublesome for many people involved in his life. Now a king of Masendor, the hero of Meskemdar, the first of house Karsunlaamt. His rule will certainly bring change to the history of the whole world."
6,"Vasla",1000,6,1,5,0,5,1,,6,0,1,
7,"Orsanoas",2000,41,7,0,1,10,4,"8,9",7,0,1,"A mighty warrior in the companion of mighty fellows. Orsanoas is brutish as much as honest, quick to anger and even quicker to decide. He does not take kindly to deception and will swiftly cut down anyone whom he thinks has wronged him. Despite being a warrior, Orsanoas does not flavour wearing any armour of sort. His favourite weapon seems to be a giant swordstaff named ""Aetel""."
8,"Fenryu",1000,68,4,8,2,4,4,,8,,1,
9,"Saltun Gadid",700,80,3,4,3,1,7,21,9,,1,
10,"Raasohd",1000,84,7,7,7,5,5,,10,0,1,
11,"Gaf Ra Naf Ma Ko Nunoada",1000,93,6,5,8,3,4,,11,0,1,
12,"Abubaba",1200,38,4,2,8,7,2,,12,,1,
13,"Veno",600,100,4,3,3,2,7,26,13,,1,
14,"Lesenyre",1500,37,8,1,4,9,3,,14,,1,
15,"Little Boy",9999999,21,1,1,0,0,3,,15,,1,
16,"Aquanturas",1000,91,2,8,9,4,5,,16,0,1,
