"ID","Name","Strength Bonus Scale","Dexterity Bonus Scale","Damage Balance","Physical Damage","Fire Damage","Water Damage","Air Damage","Earth Damage","Poison Damage","Magic Damage","Armour Penetration","Defence","Charge","Weight","Skill","Trait","Cooldown","Ammunition","Magazine","Shot Number","Range","Travel Speed","Cost","Hand","Learning Difficulty","Mastery Difficulty","ImageID","Bullet","Common","Attack","Properties","Ruleset"
1,"Unarmed",5,5,80,20,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,10,,"1hand","Punch",,0
2,"Sword",4,6,65,100,0,0,0,0,0,0,17,15,5,10,0,0,3,0,0,0,0,0,,1,5,7,0,,"1hand","Slash",,0
3,"Greatsword",6,4,50,250,0,0,0,0,0,0,45,12,12,20,0,23,6,0,0,0,0,0,,2,7,8,0,,"2hand","Slash","hold,power",0
4,"Shortsword",3,7,70,70,0,0,0,0,0,0,11,8,2,5,0,0,2,0,0,0,0,0,,1,4,6,0,,"1hand","Pierce",,0
5,"Dagger",2,8,75,55,0,0,0,0,0,0,55,3,1,2,0,0,2,0,0,0,0,0,,1,2,5,0,,"1hand","Pierce","parry",0
6,"Spear",3,7,65,75,0,0,0,0,0,0,13,7,10,8,33,23,3,0,0,0,0,0,,1,1,6,1,,"1pole","Pierce","hold,holdfront",0
7,"Club",7,3,40,70,0,0,0,0,0,0,35,4,3,14,0,0,4,0,0,0,0,0,,1,2,4,3,,"1hand","Smash",,0
8,"Mace",7,3,45,69,0,0,0,0,0,0,50,5,3,18,0,0,2,0,0,0,0,0,,1,2,5,3,,"1hand","Smash",,0
9,"Great Mace",8,2,35,180,0,0,0,0,0,0,65,10,4,30,0,0,6,0,0,0,0,0,,2,5,6,3,,"2pole","Smash","hold,power",0
10,"Flail",4,6,45,80,0,0,0,0,0,0,50,2,1,16,0,0,4,0,0,0,0,0,,1,8,7,4,,"1hand","Smash",,0
11,"Hammer",7,3,35,75,0,0,0,0,0,0,60,4,3,18,0,0,4,0,0,0,0,0,,1,3,6,5,,"1hand","Smash",,0
12,"War Hammer",8,2,25,200,0,0,0,0,0,0,70,10,3,35,0,0,6,0,0,0,0,0,,2,6,7,5,,"2pole","Smash","hold,power",0
13,"Handaxe",6,4,30,140,0,0,0,0,0,0,30,3,4,15,0,0,3,0,0,0,0,0,,1,3,5,2,,"1hand","Slash",,0
14,"Greataxe",7,3,15,310,0,0,0,0,0,0,55,7,8,30,0,21,6,0,0,0,0,0,,2,5,6,2,,"2pole","Slash","hold,power",0
15,"Halberd",5,5,25,240,0,0,0,0,0,0,60,6,20,35,0,23,6,0,0,0,0,0,,2,8,7,6,,"2pole","Slash","hold,holdfront",0
16,"Pike",2,8,35,180,0,0,0,0,0,0,35,2,30,25,54,"22,23",5,0,0,0,0,0,,2,4,8,7,,"2pole","Pierce","hold,holdfront",0
17,"Glaive",4,6,40,170,0,0,0,0,0,0,30,10,25,30,0,23,6,0,0,0,0,0,,2,8,8,8,,"2pole","Slash","hold,power",0
