"statusid","name","special_effect","status_conflict","duration","atk_effect","def_melee_effect","def_range_effect","armour_effect","speed_effect","accuracy_effect","reload_effect","charge_effect","charge_def_effect","health_regen_buff","stamina_regen_buff","morale_bonus","discipline_bonus","sight_bonus","hidden_bonus","description"
1,"Fearless",,,10,,,,,,,,,,0,0,200,0,,,
2,"Fear",,"1,3",10,,,,,,,,,,0,0,-30,0,,,
3,"Hope",,2,10,,,,,,,,,,0,0,30,0,,,
4,"Stampede",,,10,,85,85,,,,,,,0,0,0,0,,,
5,"Disrupt",,,10,90,90,90,,90,90,90,90,90,0,0,-20,10,,,
6,"Hidden",,,30,,,,,,,,,,0,0,0,0,,,
7,"Blind",,,60,50,50,30,,60,10,30,,,0,0,0,0,-500,,
8,"Silence",6,,60,,,,,,,,,,0,0,0,0,,,
9,"Fight To The Death","0,2",,5,,,,,,,,,,0,0,0,0,,,"This unit is already broken but cannot flee from battle. It will fight to the last man."
10,"Sleep",0,,,0,0,,,,,,,,0.5,1,0,0,,,"While sleeping is good for the body, sleeping at the wrong time and place is not a wise thing to do."
11,"Panic",0,,30,10,10,10,,10,10,10,10,10,0,0,-50,-50,,,
12,"Berserk",0,25,120,170,10,0,,150,0,0,150,,0,0,50,-70,,,
13,"Orc Berserk",0,,120,250,0,0,,150,0,0,200,,0,0,100,-100,,,"Even more devastating and violence than normal berserk, orc berserk make this unit an ultimate killing machine!"
14,"Confuse","0,1",,30,,,,,,,,,,0,0,0,-100,,,
15,"Run Amok","0,1",,60,130,0,0,,130,,,130,,0,0,-30,-200,,,"Cavalry unit has one downside is that their mounts can run amok from anything that spook them, Be it fire or very loud noise or even stress. This make their mount uncontrollable and will attack anyone in their path."
16,"Unconscious","0,1",,30,,,,,,,,,,0,0,0,0,,,"Being unconscious in battle is often a death sentence, especially in melee combat."
17,"Oil",,,60,,,,,,,,,,0,0,0,0,,,
18,"Blessed",,19,60,120,120,120,,120,120,120,120,120,0,0,50,,,,
19,"Cursed",,18,60,80,80,80,,80,80,80,80,80,0,0,-50,,,,
20,"Plague",,,300,,,,,,,,,,-15,-3,,,,,
21,"Blight",,,300,,,,,,,,,,0,0,,,,,
22,"Strong Will",7,,120,,,,,,,,,,0,0,,,,,
23,"Stun",,,5,50,50,50,,50,50,50,50,50,0,0,,-30,,,
24,"Entangle",,,10,80,90,,,30,,20,0,,0,0,,,,,
25,"Focus",,12,10,130,130,130,,80,150,70,,,0,0,,20,10,,
26,"Poison",,,60,,,,,,,,,,-30,-2,,,,,
27,"Deadly Poison",,,60,,,,,,,,,,-60,-5,,,,,
28,"Burn",,,30,,,,,,,,,,-50,0,,,,,"Dead by burning is not a good way to go. Try to drench yourselves as soon as possible."
29,"Freeze",0,,30,0,,,,,,0,,,0,0,,,,,
30,"Shock",,,30,,,,,,,,,,0,0,,,,,
31,"Wet",,,120,,,,,,,,,,0,0,,,,,
32,"Whistle Arrow",,,30,80,80,80,,,80,80,,,0,0,-15,,,,
33,"Drunk",,,600,,,,,,,,,,0,0,,,,,
34,"Cripple",,,300,50,80,,,20,10,10,10,,0,0,,,,,
35,"Petrify",,,120,0,,,,,,,,,0,0,,,,,
36,"Slow",,,,,,,,50,,50,70,,0,0,,,,,
37,"Haste",,,,,,,,150,,150,130,,0,0,,,,,
38,"Undead Curse",,,,,,,,,,,,,,,,,,,
39,"Flying",3,,300,,200,150,,200,,,,,0,0,,,,,
40,"Floating",3,,300,,150,120,,150,,,,,0,0,,,,,
41,"Charmed","0,1",,10,,,,,,,,,,0,0,,,,,"""Damn! Akusb got charmed by succubus again! Someone go get some water, beer and a stick!"""
42,"Bewitched","0,1",,30,,,,,,,,,,0,0,,,,,"""Damn! Akusb got bewitched by mermaids this time! Go get get a compass, a priest, and a monkey here!"""
43,"Paralysed",,,10,0,20,20,,0,,0,,,0,0,,,,,
44,"Knock Down",0,,5,,,,,,,,,,0,0,,,,,
45,"Aging",,,,,,,,,,,,,,-10,,,,,
46,"Disarmed","4,5",,,,,,,,,,,,0,0,,,,,"Losing weapon is a shame any warrior worth their salt should reconsider their life. But now is a good time to run."
47,"Enlarged",,,,,,,,,,,,,0,0,,,,,
48,"Rusted",,,120,70,70,70,,,70,70,,,,,,,,,
49,"Cure",8,,10,,,,,,,,,,,,,,,,
50,"Clear Mind",7,,10,,,,,,,,,,,,,,,,
51,"Bounty Issued",,,,,,,,,,,,,,,,,,,
52,"Bleeding",,,60,,,,,,,,,,-20,,,,,,
53,"Deaf",,,60,,70,60,,,,,,,,,,-20,-1,,
54,"Decay",,,120,,,,,,,,,,-15,,,,,,
55,"Infect",,,120,80,80,80,,80,80,80,60,,-5,,,,,,
56,"Side Flanked",,,1,,,,,,,,,,,,-20,,,,
57,"Rear Flanked",,,1,,,,,,,,,,,,-40,,,,
58,"Marked",,,,,,,,,,,,,,,,,,,
59,"Weaken",,,60,,,,,,,,,,,,,,,,
60,"Strengthen",,,60,,,,,,,,,,,,,,,,
61,"Meleelock",,,30,,,,,0,,,,,,,,,,,
62,"Smoke",,,,,,,,,,,,,,,,,,,
63,"Poison Smoke",,,,,,,,,,,,,,,,,,,
64,"Sleep Smoke",,,,,,,,,,,,,,,,,,,
65,"Suppressed",,,15,,,120,,10,,,,,,,,,,,"This unit is being suppressed by range attacks making them almost unable to move but increase their range defense."
66,"Armour Shattered",,,,,,,30,,,,,,,,,,,,
67,"Final Drive",,,300,,,,,,,,,,,,,-80,,,
68,"Whip Cracked",,,,,,,,,,,,,,,,,,,
69,"Spell Bind",,,,,,,,,,,,,,,,,,,
70,"Unleash Companion",,,,,,,,,,,,,,,,,,,
71,"Unlife",,,,,,,,,,,,,,,,,,,
72,"Wail of Death",,,,75,75,75,75,75,75,75,75,75,,,-30,,,,
73,"Mind Controlled",,,,,,,,,,,,,,,,,,,
74,"Eight Gates Of Heaven",,,,,,,,,,,,,,,,,,,
75,"Calm Berserk",,,,,,,,,,,,,,,,,,,
76,"Breaching",,,,,,,,,,,,,,,,,,,
77,"Insane",,,,,,,,,,,,,,,,,,,
78,"Gobbling",,,,,,,,,,,,,,,,,,,
79,"Polymorph",,,,,,,,,,,,,,,,,,,
80,"Shapeshift",,,,,,,,,,,,,,,,,,,
81,"Pain Reflect",,,,,,,,,,,,,,,,,,,
82,"Benediction",,,,115,115,115,115,115,115,115,115,115,,,20,,,,
83,"Turn Undead",,,,,,,,,,,,,,,,,,,
84,"Sacrifical Brand",,,,,,,,,,,,,,,,,,,
85,"Indictment",,,,,,,,,,,,,,,,,,,
86,"Awaken",10,,,,,,,,,,,,,,,,,,
87,"Reviving",,,,,,,,,,,,,,,,,,,
88,"Angel Guardian",,,,,,,,,,,,,,,,,,,"Receive 50% of damage from damage taken by nearby friendly squads"
