"id","name","class","grade","race","properties","abilities","cost","melee_atk","melee_def","range_def","armour","speed","accuracy","range","ammunition","reload","charge","charge_type","health","stamina","mana","meleeweapon","rangeweapon","morale","discipline","sight","size","troop","type","upkeep","spell","item","description"
1,"Norman Swordsmen",1,1,1,9,,,55,50,15,30,44,0,0,0,0,35,100,100,0,,,100,50,4,200,,,,,,,
2,"Norman Axemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Norman Spearmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Norman Archers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Norman Crossbowmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Norman Knights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Frankish Swordsmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Frankish Knights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Breton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Breton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fryd"
18,"Saxon Swordsmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Saxon Axemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Saxon Spearmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Saxon Archers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Saxon Crossbowmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Saxon Slingers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Saxon Skirmishers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Saxon Knights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
