"ID","Name","Melee Attack Bonus","Melee Defense Bonus","Speed Bonus","Accuracy Bonus","Reload Bonus","Charge Bonus","Health Effect","Stamina Effect","Morale Bonus","Discipline Bonus","Properties"
0,"Novice",-10,-5,-10,-20,-15,-20,100,90,-10,-10,"3,5"
1,"Militant",0,0,0,-5,0,0,105,100,-5,-5,3
2,"Professional",5,5,10,5,5,5,110,110,5,0,0
3,"Veteran",5,10,15,10,10,10,110,120,15,10,1
4,"Elite",10,15,20,20,15,15,115,130,20,15,1
5,"Champion",15,30,25,35,20,20,120,150,30,25,1
6,"Hero",35,60,30,55,25,40,130,200,50,40,2
7,"Religious Militant",5,0,0,0,0,10,105,105,20,15,1
8,"Religious Warrior",5,5,5,5,5,20,110,110,30,25,4
9,"Religious Elite Warrior",10,15,15,15,10,30,115,115,50,35,4
10,"Mercenary",5,5,10,5,5,5,105,105,10,5,3
11,"Noble",10,10,0,10,5,5,110,110,30,-10,"1,149"
